"";"JAHR";"PLZ3";"GISD_Score";"Bevoelkerung";"GISD_5";"GISD_10";"GISD_k"
"1";1998;10;0,559216;122511;4;7;2
"2";1998;11;0,559426;199264;4;7;2
"3";1998;12;0,559537;84357;4;7;2
"4";1998;13;0,559395;114919;4;7;2
"5";1998;14;0,595517;109551;4;7;2
"6";1998;15;0,760931;68760;5;9;3
"7";1998;16;0,673282;124888;4;8;2
"8";1998;17;0,647228;160650;4;8;2
"9";1998;18;0,693585;117918;4;8;2
"10";1998;19;0,72747;142223;5;9;3
"11";1998;26;0,69431;97022;4;8;2
"12";1998;27;0,855472;122709;5;10;3
"13";1998;28;0,887669;75371;5;10;3
"14";1998;29;0,815938;132169;5;10;3
"15";1998;30;0,731797;122619;5;9;3
"16";1998;31;0,777324;95933;5;10;3
"17";1998;32;0,865722;76443;5;10;3
"18";1998;41;0,769185;182575;5;10;3
"19";1998;42;0,769019;206623;5;9;3
"20";1998;43;0,769085;166317;5;10;3
"21";1998;44;0,652721;98103;4;8;2
"22";1998;45;0,759906;107915;5;9;3
"23";1998;46;0,840811;177076;5;10;3
"24";1998;47;0,761015;100023;5;9;3
"25";1998;48;0,773024;140075;5;10;3
"26";1998;49;0,848209;55139;5;10;3
"27";1998;61;0,893141;304136;5;10;3
"28";1998;62;0,889204;142562;5;10;3
"29";1998;63;0,977301;110761;5;10;3
"30";1998;64;0,933304;147030;5;10;3
"31";1998;65;1;113411;5;10;3
"32";1998;66;0,85718;135697;5;10;3
"33";1998;67;0,906818;140875;5;10;3
"34";1998;68;0,862845;166700;5;10;3
"35";1998;69;0,814798;39691;5;10;3
"36";1998;73;0,729901;84831;5;9;3
"37";1998;74;0,70496;51757;5;9;3
"38";1998;75;0,810926;139568;5;10;3
"39";1998;76;0,670205;58680;4;8;2
"40";1998;77;0,54129;136345;4;7;2
"41";1998;78;0,80101;16167;5;10;3
"42";1998;79;0,738796;92637;5;9;3
"43";1998;80;0,714323;88635;5;9;3
"44";1998;81;0,657172;62078;4;8;2
"45";1998;82;0,767865;127154;5;9;3
"46";1998;83;0,818401;122857;5;10;3
"47";1998;84;0,730632;89319;5;9;3
"48";1998;85;0,692888;80490;4;8;2
"49";1998;86;0,643856;27912;4;8;2
"50";1998;91;0,707681;198030;5;9;3
"51";1998;92;0,698726;119119;4;8;2
"52";1998;93;0,762434;137572;5;9;3
"53";1998;94;0,880824;120222;5;10;3
"54";1998;95;0,727285;110568;5;9;3
