"","Raumordnungsregion Nr","Raumordnungsregion","Jahr","Bevoelkerung","GISD_Score","TS_Bildung","TS_Einkommen","TS_Arbeitswelt","GISD_5","GISD_10","GISD_k"
"1072","511","Münster",2009,1626660,0.589933,0.656354513509046,0.811055868552806,0.477710143883995,3,5,2
"1073","511","Münster",2010,1626660,0.568575,0.63560108534135,0.812716943995076,0.461758515404061,3,5,2
"1074","511","Münster",2011,1626660,0.537922,0.625664272981674,0.802331392881573,0.431786876879728,3,5,2
"1075","511","Münster",2012,1626660,0.514914,0.609859356566515,0.797058776210372,0.41511437961914,3,5,2
"1076","511","Münster",2013,1626660,0.487823,0.585640028516669,0.789838679882817,0.402104808605893,3,5,2
"1077","511","Münster",2014,1626660,0.47821,0.596024055691513,0.78243083517199,0.383355711445071,3,5,2
"1078","511","Münster",2015,1626660,0.459003,0.581754672399124,0.776261708641301,0.372280499144545,3,5,2
"1079","511","Münster",2016,1626660,0.441016,0.577826920912241,0.770204671344484,0.35275241068532,3,5,2
"1080","511","Münster",2017,1626660,0.419799,0.577754121985616,0.758536883415759,0.329681135906185,3,5,2
"1081","512","Paderborn",1998,446927,0.799699,0.772530677519075,0.894187376462543,0.622576516202005,3,5,2
"1082","512","Paderborn",1999,446927,0.78374,0.770138467346039,0.887537671144391,0.605432662216395,3,5,2
"1083","512","Paderborn",2000,446927,0.750991,0.754482152450432,0.879225961493277,0.575668231180334,3,5,2
"1084","512","Paderborn",2001,446927,0.709665,0.745998363759376,0.858230937641399,0.537341714291144,2,4,2
"1085","512","Paderborn",2002,446927,0.704886,0.734619901874515,0.859286520148187,0.539822257938424,3,5,2
"1086","512","Paderborn",2003,446927,0.701461,0.72599481481475,0.856318283239884,0.545796157995201,3,5,2
"1087","512","Paderborn",2004,446927,0.690987,0.708939507009698,0.851469641045139,0.550516028129758,3,5,2
"1088","512","Paderborn",2005,446927,0.696139,0.694417591512085,0.855919343343557,0.569040220536654,3,5,2
"1089","512","Paderborn",2006,446927,0.68018,0.679548190038051,0.852305350597204,0.561340244638436,3,5,2
"1090","512","Paderborn",2007,446927,0.643376,0.656080531236059,0.845965875743724,0.530761180047906,3,5,2
"1091","512","Paderborn",2008,446927,0.6092,0.648392080509502,0.829866655033921,0.498473852138506,3,5,2
"1092","512","Paderborn",2009,446927,0.613383,0.64911734519213,0.829480750146142,0.504997267537965,3,5,2
"1093","512","Paderborn",2010,446927,0.587319,0.619585000671229,0.830954894602572,0.490292177842545,3,5,2
