"","Raumordnungsregion Nr","GISD_Score","GISD_5","GISD_10","GISD_k","Raumordnungsregion","Jahr"
"1",101,0.58279,4,7,2,"Schleswig-Holstein Mitte",1998
"2",101,0.58348,4,7,2,"Schleswig-Holstein Mitte",1999
"3",101,0.51508,4,7,2,"Schleswig-Holstein Mitte",2000
"4",101,0.51543,4,7,2,"Schleswig-Holstein Mitte",2001
"5",101,0.5066,3,6,2,"Schleswig-Holstein Mitte",2002
"6",101,0.50623,3,6,2,"Schleswig-Holstein Mitte",2003
"7",101,0.51915,4,7,2,"Schleswig-Holstein Mitte",2004
"8",101,0.53895,4,7,2,"Schleswig-Holstein Mitte",2005
"9",101,0.57145,4,7,2,"Schleswig-Holstein Mitte",2006
"10",101,0.58917,4,7,2,"Schleswig-Holstein Mitte",2007
"11",101,0.62622,4,7,2,"Schleswig-Holstein Mitte",2008
"12",101,0.60488,3,6,2,"Schleswig-Holstein Mitte",2009
"13",101,0.61763,4,7,2,"Schleswig-Holstein Mitte",2010
"14",101,0.62151,4,7,2,"Schleswig-Holstein Mitte",2011
"15",101,0.6446,4,7,2,"Schleswig-Holstein Mitte",2012
"16",101,0.68863,4,7,2,"Schleswig-Holstein Mitte",2013
"17",101,0.72048,4,7,2,"Schleswig-Holstein Mitte",2014
"18",101,0.71866,4,7,2,"Schleswig-Holstein Mitte",2015
"19",101,0.74121,4,8,2,"Schleswig-Holstein Mitte",2016
"20",101,0.75276,4,7,2,"Schleswig-Holstein Mitte",2017
"21",101,0.72661,4,7,2,"Schleswig-Holstein Mitte",2018
"22",101,0.74153,4,7,2,"Schleswig-Holstein Mitte",2019
"23",102,0.60933,4,7,2,"Schleswig-Holstein Nord",1998
"24",102,0.63605,4,7,2,"Schleswig-Holstein Nord",1999
"25",102,0.57402,4,7,2,"Schleswig-Holstein Nord",2000
"26",102,0.60278,4,8,2,"Schleswig-Holstein Nord",2001
"27",102,0.59372,4,8,2,"Schleswig-Holstein Nord",2002
"28",102,0.57065,4,8,2,"Schleswig-Holstein Nord",2003
"29",102,0.60539,4,8,2,"Schleswig-Holstein Nord",2004
"30",102,0.63124,4,8,2,"Schleswig-Holstein Nord",2005
"31",102,0.64136,4,8,2,"Schleswig-Holstein Nord",2006
"32",102,0.70195,4,8,2,"Schleswig-Holstein Nord",2007
"33",102,0.73112,4,8,2,"Schleswig-Holstein Nord",2008
"34",102,0.71306,4,8,2,"Schleswig-Holstein Nord",2009
"35",102,0.73159,5,9,3,"Schleswig-Holstein Nord",2010
