"";"JAHR";"PLZ2";"GISD_Score";"TS_Bildung";"TS_Einkommen";"TS_Arbeitswelt";"Bevoelkerung";"GISD_5";"GISD_10";"GISD_k"
"1";1998;1;0,642272;0,68180319775526;0,796938611009541;0,711631746261647;1239191;4;7;2
"2";1998;2;0,863747;0,769810132170032;0,804528909982317;0,800027481293068;427838;5;10;3
"3";1998;3;0,815617;0,708783825113832;0,851245342530765;0,774352801489532;295564;5;9;3
"4";1998;4;0,84389;0,768511171705941;0,852024542117991;0,73733436285047;1221559;5;10;3
"5";1998;6;1;0,791708420653426;0,9030576225884;0,792794089889711;1298339;5;10;3
"6";1998;7;0,77306;0,75778872241535;0,803478328721726;0,737760133362783;575515;4;8;2
"7";1998;8;0,779917;0,748107921143446;0,809898899696818;0,746716938582884;603527;5;9;3
"8";1998;9;0,766341;0,738678269969406;0,807595405659929;0,74717181029601;786494;4;8;2
"9";1998;10;0,79867;0,77267803766644;0,85475930376832;0,692865382915525;408547;5;9;3
"10";1998;12;0,796317;0,772209947512874;0,853952853743261;0,692184834009607;1358152;5;9;3
"11";1998;13;0,798597;0,77266688617904;0,854722476350805;0,692852560813113;1156630;5;9;3
"12";1998;14;0,727008;0,732094832151325;0,835054848383739;0,693619296258327;1244929;4;8;2
"13";1998;15;0,757577;0,759732486634709;0,830403088057163;0,696028465183094;617550;4;8;2
"14";1998;16;0,858191;0,785647661478419;0,843305448774713;0,740797875365569;592979;5;10;3
"15";1998;17;0,957699;0,782290938092863;0,869074756643148;0,801052509895182;586292;5;10;3
"16";1998;18;0,888634;0,744571059900481;0,875875185628298;0,774594961358374;602638;5;10;3
"17";1998;19;0,882372;0,784671686762152;0,862724200651245;0,742443598229343;398894;5;10;3
"18";1998;20;0,381949;0,739225229686828;0,689247122436144;0,545634379274367;122167;2;3;2
"19";1998;21;0,464101;0,746936006222589;0,701926489042714;0,593492939723888;1581273;2;4;2
"20";1998;22;0,392767;0,750934157772257;0,682517513639358;0,549642533354386;1088750;2;3;2
"21";1998;23;0,794802;0,840384752004859;0,801483827654127;0,675220539885004;729034;5;9;3
"22";1998;24;0,759668;0,839152229622865;0,783783580778273;0,66496592761927;1084996;4;8;2
"23";1998;25;0,669698;0,828961087442414;0,749857900249721;0,634339146998259;690488;4;7;2
"24";1998;26;0,832148;0,827325027947821;0,823011608496616;0,697778762260999;1162010;5;9;3
"25";1998;27;0,798078;0,85854482785702;0,796004390683892;0,665261765668349;857755;5;9;3
"26";1998;28;0,647478;0,765063895314829;0,784732135045734;0,644901788016978;730105;4;7;2
"27";1998;29;0,835994;0,850869733803301;0,818408532844625;0,68203175564541;513833;5;9;3
"28";1998;30;0,567412;0,727872290534067;0,787275847290236;0,613034056371498;898619;3;6;2
"29";1998;31;0,69076;0,808760197977038;0,785309321284485;0,636585413798483;1011232;4;7;2
"30";1998;32;0,55676;0,769844550131756;0,737348672807483;0,612139748761153;874570;3;5;2
"31";1998;33;0,517807;0,742061059047146;0,734662284066893;0,610249050785749;1066042;3;5;2
"32";1998;34;0,63294;0,790574619807414;0,776479546939688;0,615566462780208;795391;3;6;2
"33";1998;35;0,522855;0,778061061204239;0,722081037147193;0,591024025332773;902128;3;5;2
"34";1998;36;0,57704;0,795812634681454;0,732653296904411;0,607715046805939;528999;3;6;2
"35";1998;37;0,704656;0,779220999511299;0,783393788287325;0,67958514135257;734744;4;8;2
"36";1998;38;0,640972;0,750887180760828;0,786766267687323;0,651639517468166;1159086;4;7;2
"37";1998;39;0,959644;0,790268786877256;0,900169353743289;0,763595344794087;778683;5;10;3
"38";1998;40;0,29677;0,6593988737882;0,71187435027528;0,532070186285525;980168;1;2;1
"39";1998;41;0,556226;0,733381508461984;0,766910918907332;0,618596947123315;938198;3;5;2
"40";1998;42;0,613623;0,774796402411481;0,796560095878586;0,595216524600403;869535;3;6;2
"41";1998;44;0,704289;0,726172051793265;0,842599758563118;0,67312320146199;1255921;4;8;2
