"year","PLZ3","gisd_score","population","gisd_5","gisd_10","gisd_k"
1998,10,0.56736,122511,3,6,2
1998,11,0.56777,199264,3,6,2
1998,12,0.56786,84357,3,6,2
1998,13,0.56758,114919,3,6,2
1998,14,0.73535,109551,4,8,2
1998,15,0.76165,68760,5,9,3
1998,16,0.76281,124888,5,9,3
1998,17,0.7316,160650,4,8,2
1998,18,0.75438,117918,5,9,3
1998,19,0.82227,140125,5,10,3
1998,26,0.80729,97022,5,9,3
1998,27,0.85059,122709,5,10,3
1998,28,0.83904,75371,5,10,3
1998,29,0.81697,132169,5,10,3
1998,30,0.72886,122619,4,8,2
1998,31,0.77719,95933,5,9,3
1998,32,0.80781,76443,5,9,3
1998,41,0.77501,182575,5,9,3
1998,42,0.77504,206623,5,9,3
1998,43,0.77509,166317,5,9,3
1998,44,0.82763,98103,5,10,3
1998,45,0.82415,107915,5,10,3
1998,46,0.83947,170342,5,10,3
1998,47,0.82197,100023,5,10,3
1998,48,0.84432,140075,5,10,3
1998,49,0.79462,55139,5,9,3
1998,61,0.88238,304136,5,10,3
1998,62,0.8871,142548,5,10,3
1998,63,0.96976,110761,5,10,3
1998,64,0.96365,147030,5,10,3
1998,65,0.96198,89315,5,10,3
1998,66,0.94249,135670,5,10,3
1998,67,0.93026,140873,5,10,3
1998,68,0.8596,166700,5,10,3
1998,69,0.84996,39691,5,10,3
1998,73,0.81452,76992,5,10,3
1998,74,0.79359,44784,5,9,3
1998,75,0.85582,139563,5,10,3
1998,76,0.76449,57873,5,9,3
1998,77,0.5331,136333,3,5,2
1998,78,0.82677,15427,5,10,3
1998,79,0.80302,91732,5,9,3
1998,80,0.76146,88635,5,9,3
1998,81,0.77944,62043,5,9,3
1998,82,0.75801,110892,5,9,3
1998,83,0.79751,117952,5,9,3
1998,84,0.76597,89319,5,9,3
1998,85,0.71838,80490,4,8,2
1998,86,0.7261,27912,4,8,2
1998,91,0.73699,198030,4,8,2
1998,92,0.76847,119118,5,9,3
1998,93,0.79829,137547,5,9,3
1998,94,0.81288,120222,5,10,3
1998,95,0.79183,110568,5,9,3
1998,96,0.79545,102578,5,9,3
1998,101,0.80903,42824,5,9,3
1998,102,0.80903,41054,5,9,3
1998,103,0.80903,103369,5,9,3
1998,104,0.80903,41047,5,9,3
1998,105,0.80903,49855,5,9,3
1998,106,0.80903,12120,5,9,3
1998,107,0.80903,57816,5,9,3
1998,108,0.80903,18513,5,9,3
1998,109,0.80903,47869,5,9,3
1998,120,0.80903,66959,5,9,3
1998,121,0.80903,100496,5,9,3
1998,122,0.80901,119870,5,9,3
1998,123,0.80902,174847,5,9,3
1998,124,0.80903,135482,5,9,3
1998,125,0.80583,537969,5,9,3
1998,126,0.80904,242319,5,10,3
1998,130,0.80903,165855,5,9,3
1998,131,0.80903,299862,5,10,3
1998,133,0.80903,56036,5,9,3
1998,134,0.80886,191033,5,9,3
1998,135,0.80903,417557,5,10,3
1998,136,0.80903,43051,5,9,3
1998,140,0.80898,169684,5,9,3
1998,141,0.80875,388940,5,9,3
1998,144,0.50801,170860,3,5,2
1998,145,0.59207,142666,4,7,2
1998,146,0.87638,113597,5,10,3
1998,147,0.84987,148951,5,10,3
1998,148,0.59992,31060,4,7,2
1998,149,0.71903,99079,4,8,2
1998,152,0.78735,73216,5,9,3
1998,153,0.79616,154882,5,9,3
1998,155,0.76084,105555,5,9,3
1998,157,0.66965,102851,4,8,2
1998,158,0.74352,139381,5,9,3
1998,159,0.684,51753,4,8,2
1998,162,0.83066,109949,5,10,3
1998,163,0.84926,148748,5,10,3
1998,165,0.75466,108711,5,9,3
1998,167,0.76194,99872,5,9,3
1998,168,0.91914,84358,5,10,3
1998,169,0.9094,42180,5,10,3
1998,170,0.86722,105705,5,10,3
1998,171,0.88507,110291,5,10,3
1998,172,0.90726,130981,5,10,3
1998,173,0.93501,106038,5,10,3
1998,174,0.92037,116585,5,10,3
1998,175,0.94713,12575,5,10,3
1998,180,0.81886,55991,5,10,3
1998,181,0.82186,193247,5,10,3
1998,182,0.84494,131557,5,10,3
1998,183,0.88621,51591,5,10,3
1998,184,0.86561,82034,5,10,3
1998,185,0.88282,84208,5,10,3
1998,186,0.8666,4721,5,10,3
1998,190,0.80958,145911,5,10,3
1998,192,0.86954,115711,5,10,3
1998,193,0.88998,122953,5,10,3
1998,194,0.89309,16806,5,10,3
1998,200,0.41665,10286,2,3,2
1998,201,0.41665,10364,2,3,2
1998,202,0.41665,14602,2,3,2
1998,203,0.41665,11948,2,3,2
1998,204,0.41665,36599,2,3,2
1998,205,0.41665,40074,2,3,2
1998,210,0.41811,493858,2,3,2
1998,211,0.41664,291519,2,3,2
1998,212,0.37409,149335,1,2,1
1998,213,0.54767,164526,3,6,2
1998,214,0.43768,159171,2,3,2
1998,215,0.4771,77363,2,4,2
1998,216,0.47589,157726,2,4,2
1998,217,0.60215,104498,4,7,2
1998,220,0.41664,65496,2,3,2
1998,221,0.41181,209658,2,3,2
1998,222,0.41665,14006,2,3,2
1998,223,0.41664,243589,2,3,2
1998,224,0.41695,99305,2,3,2
1998,225,0.4167,157717,2,3,2
1998,226,0.41665,31848,2,3,2
1998,227,0.41665,29261,2,3,2
1998,228,0.45484,141758,2,4,2
1998,229,0.35111,110804,1,2,1
1998,235,0.72931,213696,4,8,2
1998,236,0.60066,95349,4,7,2
1998,237,0.60804,145843,4,7,2
1998,238,0.45979,137424,2,4,2
1998,239,0.81947,140926,5,10,3
1998,241,0.6459,268733,4,8,2
1998,242,0.5786,130023,4,7,2
1998,243,0.59232,97483,4,7,2
1998,244,0.64347,4688,4,8,2
1998,245,0.67077,185108,4,8,2
1998,246,0.5539,63693,3,6,2
1998,247,0.56547,72930,3,6,2
1998,248,0.6202,101708,4,7,2
1998,249,0.70687,170983,4,8,2
1998,253,0.48748,111890,2,4,2
1998,254,0.43492,182992,2,3,2
1998,255,0.61526,116010,4,7,2
1998,256,0.69438,4415,4,8,2
1998,257,0.69163,115467,4,8,2
1998,258,0.58147,108828,4,7,2
1998,259,0.57204,55067,3,6,2
1998,261,0.58699,271800,4,7,2
1998,262,0.60165,54210,4,7,2
1998,263,0.75548,125261,5,9,3
1998,264,0.69985,105418,4,8,2
1998,265,0.76785,76388,5,9,3
1998,266,0.73985,170636,4,8,2
1998,267,0.6824,108629,4,8,2
1998,268,0.70977,176254,4,8,2
1998,269,0.60588,86344,4,7,2
1998,272,0.54816,112026,3,6,2
1998,273,0.61102,136961,4,7,2
1998,274,0.63689,153532,4,8,2
1998,275,0.90457,123586,5,10,3
1998,276,0.7319,104851,4,8,2
1998,277,0.66763,208709,4,8,2
1998,278,0.5885,20423,4,7,2
1998,281,0.58654,71693,4,7,2
1998,282,0.58652,155504,4,7,2
1998,283,0.58642,191876,4,7,2
1998,287,0.5841,145110,4,7,2
1998,288,0.54051,174695,3,6,2
1998,292,0.65773,70027,4,8,2
1998,293,0.64382,146890,4,8,2
1998,294,0.8723,80491,5,10,3
1998,295,0.66118,89700,4,8,2
1998,296,0.63741,104843,4,8,2
1998,301,0.4933,102971,3,5,2
1998,304,0.49329,145898,3,5,2
1998,305,0.49326,134923,3,5,2
1998,306,0.49327,144652,3,5,2
1998,308,0.48961,189289,2,4,2
1998,309,0.48662,194728,2,4,2
1998,310,0.59237,47976,4,7,2
1998,311,0.55327,214505,3,6,2
1998,312,0.54524,136714,3,6,2
1998,313,0.49493,73831,3,5,2
1998,315,0.59093,173599,4,7,2
1998,316,0.67359,116657,4,8,2
1998,317,0.63451,104681,4,7,2
1998,318,0.60184,119404,4,7,2
1998,320,0.50297,66311,3,5,2
1998,321,0.49873,108528,3,5,2
1998,322,0.50367,71240,3,5,2
1998,323,0.55005,92094,3,6,2
1998,324,0.54476,158638,3,6,2
1998,325,0.5252,88798,3,5,2
1998,326,0.5054,126271,3,5,2
1998,327,0.49389,109744,3,5,2
1998,328,0.5103,63983,3,5,2
1998,330,0.53813,46296,3,6,2
1998,331,0.51648,308924,3,5,2
1998,333,0.4615,174651,2,4,2
1998,334,0.46648,75318,2,4,2
1998,336,0.55853,244397,3,6,2
1998,337,0.51674,157711,3,5,2
1998,338,0.4776,75272,2,4,2
1998,341,0.72219,197837,4,8,2
