"year","PLZ2","gisd_score","population","gisd_5","gisd_10","gisd_k"
1998,1,0.6832,1242943,4,8,2
1998,2,0.88459,427271,5,10,3
1998,3,0.79844,294995,5,9,3
1998,4,0.853,1227112,5,9,3
1998,6,1,1276724,5,10,3
1998,7,0.77556,562704,5,9,3
1998,8,0.79577,577243,5,9,3
1998,9,0.81789,788063,5,9,3
1998,10,0.85833,414467,5,9,3
1998,12,0.85662,1377942,5,9,3
1998,13,0.85829,1173394,5,9,3
1998,14,0.76772,1264837,5,9,3
1998,15,0.7746,627638,5,9,3
1998,16,0.88416,593818,5,10,3
1998,17,0.98805,582175,5,10,3
1998,18,0.90991,603349,5,10,3
1998,19,0.92089,401381,5,10,3
1998,20,0.32418,123873,1,2,1
1998,21,0.36906,1597996,2,4,2
1998,22,0.32069,1103442,1,2,1
1998,23,0.64902,733238,4,8,2
1998,24,0.61973,1095349,4,8,2
1998,25,0.50795,694669,3,6,2
1998,26,0.68042,1174940,4,8,2
1998,27,0.67937,860088,4,8,2
1998,28,0.53994,738878,3,6,2
1998,29,0.68946,491951,4,8,2
1998,30,0.42553,912461,3,5,2
1998,31,0.55338,987367,4,7,2
1998,32,0.46061,885607,3,6,2
1998,33,0.45383,1082569,3,5,2
1998,34,0.49747,800276,3,6,2
1998,35,0.45735,912547,3,5,2
1998,36,0.45221,518781,3,5,2
1998,37,0.58735,729054,4,7,2
1998,38,0.54868,1126260,4,7,2
1998,39,0.97921,783323,5,10,3
1998,40,0.21925,991992,1,1,1
1998,41,0.4597,952282,3,5,2
1998,42,0.53694,878888,3,6,2
1998,44,0.60085,1267494,4,8,2
1998,45,0.53999,1559154,4,7,2
1998,46,0.54765,894580,4,7,2
1998,47,0.65218,1313713,4,8,2
1998,48,0.34011,1189935,2,3,2
1998,49,0.56806,1228129,4,7,2
1998,50,0.36715,1084177,2,4,2
1998,51,0.3556,1079789,2,3,2
1998,52,0.57046,941131,4,7,2
1998,53,0.33912,1265468,2,3,2
1998,54,0.53616,516542,3,6,2
1998,55,0.40742,795458,2,4,2
1998,56,0.54445,849197,4,7,2
1998,57,0.4551,597621,3,5,2
1998,58,0.59089,930406,4,7,2
1998,59,0.5072,1145053,3,6,2
1998,60,0.23515,619157,1,2,1
1998,61,0.05961,451016,1,1,1
1998,63,0.38649,1268561,2,4,2
1998,64,0.26943,792590,1,2,1
1998,65,0.24166,1081648,1,2,1
1998,66,0.67045,1248759,4,8,2
1998,67,0.56754,1033467,4,7,2
1998,68,0.36699,601445,2,4,2
1998,69,0.19599,508949,1,1,1
1998,70,0.14347,821650,1,1,1
1998,71,0.16191,1000158,1,1,1
1998,72,0.33998,1056260,2,3,2
1998,73,0.25951,1006392,1,2,1
1998,74,0.33917,1057532,2,3,2
1998,75,0.37612,484410,2,4,2
1998,76,0.29699,1139769,1,2,1
1998,77,0.40395,478943,2,4,2
1998,78,0.45709,741488,3,5,2
1998,79,0.41687,1040371,2,4,2
1998,80,0.00037,626238,1,1,1
1998,81,0,814923,1,1,1
1998,82,0.02309,735553,1,1,1
1998,83,0.25136,762163,1,2,1
1998,84,0.33987,684830,2,3,2
1998,85,0.06576,1114901,1,1,1
1998,86,0.36367,1164100,2,3,2
1998,87,0.366,522875,2,4,2
1998,88,0.27883,846572,1,2,1
1998,89,0.35644,763761,2,3,2
1998,90,0.45856,892793,3,5,2
1998,91,0.30522,999919,1,2,1
1998,92,0.45996,516635,3,5,2
1998,93,0.35477,590817,2,3,2
1998,94,0.49689,705807,3,6,2
1998,95,0.48548,497496,3,6,2
1998,96,0.47681,552316,3,6,2
1998,97,0.38953,1061351,2,4,2
1998,98,0.86258,242064,5,10,3
1998,99,0.90554,782843,5,10,3
1999,1,0.71901,1242943,4,8,2
1999,2,0.92082,427271,5,10,3
1999,3,0.81157,294995,5,9,3
1999,4,0.87544,1227112,5,9,3
1999,6,1,1276724,5,10,3
1999,7,0.77675,562704,5,9,3
1999,8,0.88254,577243,5,10,3
1999,9,0.85535,788063,5,9,3
1999,10,0.8333,414467,5,9,3
1999,12,0.83246,1377942,5,9,3
1999,13,0.8333,1173394,5,9,3
1999,14,0.77762,1264837,5,9,3
1999,15,0.80784,627638,5,9,3
1999,16,0.90023,593818,5,10,3
1999,17,0.9935,582175,5,10,3
1999,18,0.91438,603349,5,10,3
1999,19,0.93426,401381,5,10,3
1999,20,0.35401,123873,2,3,2
1999,21,0.40138,1597996,2,4,2
1999,22,0.34691,1103442,1,2,1
1999,23,0.66228,733238,4,8,2
1999,24,0.60899,1095349,4,7,2
1999,25,0.53081,694669,3,6,2
1999,26,0.68751,1174940,4,8,2
1999,27,0.67443,860088,4,8,2
1999,28,0.52727,738878,3,6,2
1999,29,0.68148,491951,4,8,2
1999,30,0.46341,912461,3,5,2
1999,31,0.55691,987367,4,7,2
1999,32,0.4851,885607,3,5,2
1999,33,0.47758,1082569,3,5,2
1999,34,0.51802,800276,3,6,2
1999,35,0.47046,912547,3,5,2
1999,36,0.49047,518781,3,6,2
1999,37,0.61466,729054,4,8,2
1999,38,0.53825,1126260,3,6,2
1999,39,0.99448,783323,5,10,3
1999,40,0.26272,991992,1,1,1
1999,41,0.47492,952282,3,5,2
1999,42,0.55265,878888,3,6,2
1999,44,0.61943,1267494,4,8,2
1999,45,0.57124,1559154,4,7,2
1999,46,0.57193,894580,4,7,2
1999,47,0.65909,1313713,4,8,2
1999,48,0.39492,1189935,2,4,2
1999,49,0.57034,1228129,4,7,2
1999,50,0.39246,1084177,2,4,2
1999,51,0.38201,1079789,2,4,2
1999,52,0.5776,941131,4,7,2
1999,53,0.37322,1265468,2,3,2
1999,54,0.55696,516542,4,7,2
1999,55,0.42857,795458,2,4,2
1999,56,0.56082,849197,4,7,2
1999,57,0.47625,597621,3,5,2
1999,58,0.58355,930406,4,7,2
1999,59,0.54429,1145053,3,6,2
1999,60,0.29487,619157,1,2,1
1999,61,0.13172,451016,1,1,1
1999,63,0.42291,1268561,2,4,2
1999,64,0.33293,792590,1,2,1
1999,65,0.29662,1081648,1,2,1
1999,66,0.67886,1248759,4,8,2
1999,67,0.58012,1033467,4,7,2
1999,68,0.42001,601445,2,4,2
1999,69,0.23349,508949,1,1,1
1999,70,0.17064,821650,1,1,1
1999,71,0.2039,1000158,1,1,1
1999,72,0.35284,1056260,1,2,1
1999,73,0.27911,1006392,1,2,1
1999,74,0.35803,1057532,2,3,2
1999,75,0.38914,484410,2,4,2
1999,76,0.32834,1139769,1,2,1
1999,77,0.42605,478943,2,4,2
1999,78,0.46204,741488,3,5,2
1999,79,0.45059,1040371,2,4,2
1999,80,0.00023,626238,1,1,1
1999,81,0,814923,1,1,1
1999,82,0.06277,735553,1,1,1
1999,83,0.29244,762163,1,2,1
1999,84,0.37641,684830,2,3,2
1999,85,0.10729,1114901,1,1,1
1999,86,0.35756,1164100,2,3,2
1999,87,0.37996,522875,2,3,2
1999,88,0.29202,846572,1,2,1
1999,89,0.35753,763761,2,3,2
1999,90,0.45234,892793,3,5,2
1999,91,0.32122,999919,1,2,1
1999,92,0.47692,516635,3,5,2
1999,93,0.37719,590817,2,3,2
1999,94,0.5136,705807,3,6,2
1999,95,0.4953,497496,3,6,2
1999,96,0.48998,552316,3,6,2
1999,97,0.38133,1061351,2,3,2
1999,98,0.84363,242064,5,9,3
1999,99,0.88276,782843,5,10,3
2000,1,0.72865,1242943,5,9,3
2000,2,0.92106,427271,5,10,3
2000,3,0.79088,294995,5,9,3
2000,4,0.85653,1227112,5,10,3
2000,6,1,1276724,5,10,3
2000,7,0.7503,562704,5,9,3
2000,8,0.83417,577243,5,9,3
2000,9,0.83568,788063,5,9,3
2000,10,0.73801,414467,5,9,3
2000,12,0.73722,1377942,5,9,3
2000,13,0.73804,1173394,5,9,3
2000,14,0.72718,1264837,4,8,2
2000,15,0.78262,627638,5,9,3
2000,16,0.86119,593818,5,10,3
2000,17,0.97629,582175,5,10,3
2000,18,0.87484,603349,5,10,3
2000,19,0.91117,401381,5,10,3
2000,20,0.33348,123873,1,2,1
2000,21,0.38839,1597996,2,4,2
2000,22,0.31973,1103442,1,2,1
2000,23,0.62605,733238,4,8,2
2000,24,0.55326,1095349,4,8,2
2000,25,0.49459,694669,3,6,2
2000,26,0.65183,1174940,4,8,2
2000,27,0.6182,860088,4,8,2
2000,28,0.49148,738878,3,6,2
2000,29,0.66221,491951,4,8,2
2000,30,0.40366,912461,2,4,2
2000,31,0.51207,987367,4,7,2
2000,32,0.43472,885607,3,5,2
2000,33,0.43119,1082569,3,5,2
2000,34,0.51903,800276,4,7,2
2000,35,0.42994,912547,3,5,2
2000,36,0.47932,518781,3,6,2
2000,37,0.56409,729054,4,8,2
2000,38,0.53667,1126260,4,7,2
2000,39,0.98664,783323,5,10,3
2000,40,0.22683,991992,1,1,1
2000,41,0.41985,952282,3,5,2
2000,42,0.48832,878888,3,6,2
2000,44,0.5445,1267494,4,7,2
2000,45,0.51375,1559154,4,7,2
2000,46,0.51197,894580,3,6,2
2000,47,0.57509,1313713,4,8,2
