"","Kreiskennziffer","Name des Kreises","Jahr","Bevoelkerung","GISD_Score","TS_Bildung","TS_Einkommen","TS_Arbeitswelt","GISD_Score_2","GISD_5","GISD_10","GISD_k"
"3609",8336,"Lörrach",2002,223692,0.697511950487848,0.817680561318247,0.587421220422733,0.552730561945636,0.686984,4,7,2
"3610",8336,"Lörrach",2003,223692,0.675347135523694,0.774396735445193,0.582160269434549,0.549848125290588,0.663289,3,6,2
"3611",8336,"Lörrach",2004,223692,0.680161692900648,0.789963019381142,0.573756672049234,0.55385626378909,0.668436,3,6,2
"3612",8336,"Lörrach",2005,223692,0.660466030028301,0.731462079066452,0.577883708851484,0.562531926124283,0.647381,3,6,2
"3613",8336,"Lörrach",2006,223692,0.646343340974863,0.729933317111677,0.557420678831759,0.551755993822725,0.632283,3,5,2
"3614",8336,"Lörrach",2007,223692,0.628654126422895,0.730301615906818,0.534732697864093,0.533032833310994,0.613372,3,5,2
"3615",8336,"Lörrach",2008,223692,0.590153713923284,0.705974623041203,0.488461959026617,0.514301196044183,0.572214,2,4,2
"3616",8336,"Lörrach",2009,223692,0.603807925450138,0.70629424244575,0.505517198060451,0.52860709166234,0.586811,2,4,2
"3617",8336,"Lörrach",2010,223692,0.57963168694642,0.674348708966669,0.493973471883322,0.516002195713729,0.560966,2,3,2
"3618",8336,"Lörrach",2011,223692,0.5475341880047,0.663278848981689,0.456752272467123,0.489820044574502,0.526652,2,3,2
"3619",8336,"Lörrach",2012,223692,0.521142009554993,0.651275404467832,0.426871614435459,0.470468526678888,0.498438,1,2,1
"3620",8336,"Lörrach",2013,223692,0.490330896110477,0.606463704314198,0.408499951558304,0.462163374585675,0.4655,1,2,1
"3621",8336,"Lörrach",2014,223692,0.503424612524241,0.672757544528297,0.396150782126129,0.438598986735113,0.479497,1,2,1
"3622",8337,"Waldshut",1998,165211,0.799824690809385,0.842829984745092,0.696604699750559,0.655785571089226,0.79636,5,9,3
"3623",8337,"Waldshut",1999,165211,0.79081390430533,0.853563567252237,0.678402799796433,0.642346895076387,0.786728,5,9,3
"3624",8337,"Waldshut",2000,165211,0.770281426840357,0.854808571277268,0.657711241407751,0.614153615571937,0.764778,5,9,3
"3625",8337,"Waldshut",2001,165211,0.72894745600951,0.840847988292941,0.599382662964621,0.590538933595712,0.72059,4,8,2
"3626",8337,"Waldshut",2002,165211,0.712477241744877,0.807887625844517,0.59916949598369,0.585497967347297,0.702983,4,7,2
"3627",8337,"Waldshut",2003,165211,0.723493692941273,0.828069715047644,0.604445382819635,0.585600565072771,0.71476,4,7,2
"3628",8337,"Waldshut",2004,165211,0.711822211207915,0.79698726239989,0.607097814360432,0.586950198451541,0.702282,4,7,2
"3629",8337,"Waldshut",2005,165211,0.716961279628089,0.796260208053427,0.611526303343377,0.595172525387013,0.707776,4,7,2
"3630",8337,"Waldshut",2006,165211,0.684553379265606,0.759476551181453,0.587673441279619,0.58061563466644,0.673131,3,6,2
"3631",8337,"Waldshut",2007,165211,0.661627325744034,0.749275022201865,0.565285457443339,0.560011694189492,0.648622,3,6,2
"3632",8337,"Waldshut",2008,165211,0.641287586180237,0.761840622990265,0.518868308691986,0.546670602326455,0.626878,3,5,2
"3633",8337,"Waldshut",2009,165211,0.643160552206313,0.730704796211985,0.537073830990271,0.563946597212056,0.62888,3,5,2
"3634",8337,"Waldshut",2010,165211,0.618471063327662,0.701478604146832,0.524586158563248,0.548375453089283,0.602486,2,4,2
"3635",8337,"Waldshut",2011,165211,0.587491393039489,0.70262732870268,0.483883580634482,0.516049702632862,0.569368,2,4,2
"3636",8337,"Waldshut",2012,165211,0.562046337063612,0.679766619642775,0.465449329191863,0.498306573770708,0.542166,2,3,2
"3637",8337,"Waldshut",2013,165211,0.547457502171244,0.676938333455484,0.449981466433377,0.482753438245717,0.52657,2,3,2
