"","Kreiskennziffer","Name des Kreises","Jahr","Bevoelkerung","GISD_Score","TS_Bildung","TS_Einkommen","TS_Arbeitswelt","GISD_5","GISD_10","GISD_k"
"669",3351,"Celle",2006,178764,0.782048,0.761089924105848,0.895872892843304,0.578277111738456,4,8,2
"670",3351,"Celle",2007,178764,0.746385,0.729382369498484,0.882024282327974,0.554712921025599,4,8,2
"671",3351,"Celle",2008,178764,0.708417,0.701163547928354,0.864754279048432,0.526614275172312,4,7,2
"672",3351,"Celle",2009,178764,0.695927,0.694832673113831,0.860124227551334,0.513368366531691,4,7,2
"673",3351,"Celle",2010,178764,0.689962,0.693692180289715,0.863165153950928,0.499906421295176,4,8,2
"674",3351,"Celle",2011,178764,0.647503,0.647808424962031,0.852212477004047,0.474451064632693,4,7,2
"675",3351,"Celle",2012,178764,0.629079,0.640575122119246,0.842423716219253,0.455765476199998,4,7,2
"676",3351,"Celle",2013,178764,0.610732,0.626238264648406,0.836353722371421,0.440611761256773,4,7,2
"677",3351,"Celle",2014,178764,0.585176,0.601275780803346,0.830194651706676,0.422202758819245,4,7,2
"678",3351,"Celle",2015,178764,0.569796,0.592785032616022,0.825440027024468,0.40564082256982,4,7,2
"679",3351,"Celle",2016,178764,0.560813,0.586531814033813,0.82156144057755,0.398361446978075,4,7,2
"680",3351,"Celle",2017,178764,0.557872,0.616573552687261,0.809806949619748,0.374373805436863,4,8,2
"681",3352,"Cuxhaven",1998,198100,0.910717,0.925076369839332,0.905390548217895,0.654151288861544,5,9,3
"682",3352,"Cuxhaven",1999,198100,0.895822,0.92015014888869,0.899082799054374,0.636517194901107,5,9,3
"683",3352,"Cuxhaven",2000,198100,0.878766,0.916836872285704,0.893789619795068,0.612065567225885,5,9,3
"684",3352,"Cuxhaven",2001,198100,0.847152,0.877301959791116,0.880675736126953,0.603441530320462,5,9,3
"685",3352,"Cuxhaven",2002,198100,0.848716,0.877405272599192,0.882264141368214,0.604782363316431,5,9,3
"686",3352,"Cuxhaven",2003,198100,0.850024,0.877850146462046,0.88095681018004,0.608179272388394,5,9,3
"687",3352,"Cuxhaven",2004,198100,0.82628,0.828589909860392,0.874511627133753,0.617864784833342,5,9,3
"688",3352,"Cuxhaven",2005,198100,0.852207,0.844211634089712,0.878317426152007,0.648688020322791,5,9,3
"689",3352,"Cuxhaven",2006,198100,0.817223,0.803500906340251,0.872116016827547,0.627795985303313,5,9,3
"690",3352,"Cuxhaven",2007,198100,0.800155,0.808890389358062,0.862736301714709,0.598707541474637,5,9,3
"691",3352,"Cuxhaven",2008,198100,0.753303,0.760262481023077,0.848773973992358,0.570490999737115,5,9,3
"692",3352,"Cuxhaven",2009,198100,0.756125,0.789558831944217,0.847154803365758,0.548282897094093,5,9,3
"693",3352,"Cuxhaven",2010,198100,0.732631,0.753132339927113,0.849241841651304,0.537088561140814,5,9,3
"694",3352,"Cuxhaven",2011,198100,0.701907,0.728910031491687,0.8382477465121,0.51275629089646,5,9,3
"695",3352,"Cuxhaven",2012,198100,0.711106,0.772633187326407,0.830095672960376,0.495014380771358,5,10,3
"696",3352,"Cuxhaven",2013,198100,0.685486,0.741133646737854,0.824355625066302,0.482598704763314,5,10,3
"697",3352,"Cuxhaven",2014,198100,0.664874,0.727917316671367,0.816304162967663,0.463917935435625,5,9,3
"698",3352,"Cuxhaven",2015,198100,0.633173,0.68479123893816,0.80986092818186,0.452046928618042,5,9,3
"699",3352,"Cuxhaven",2016,198100,0.637052,0.714508699879594,0.800556707426931,0.439152066523793,5,10,3
"700",3352,"Cuxhaven",2017,198100,0.619509,0.714480300361378,0.791472456809415,0.41426325092618,5,10,3
"701",3353,"Harburg",1998,251511,0.803751,0.80293273015958,0.856769059321752,0.617601925444556,2,4,2
"702",3353,"Harburg",1999,251511,0.790071,0.796025596129844,0.849448483202988,0.605315668960213,3,5,2
"703",3353,"Harburg",2000,251511,0.789133,0.851149273427883,0.835201762220473,0.562620774629522,3,6,2
"704",3353,"Harburg",2001,251511,0.746791,0.810149596467285,0.81494094996032,0.541815579107984,3,5,2
"705",3353,"Harburg",2002,251511,0.746245,0.804744825990865,0.815074676211269,0.546029212179557,3,5,2
"706",3353,"Harburg",2003,251511,0.734665,0.779124440546218,0.80692788749688,0.557352414785464,3,5,2
"707",3353,"Harburg",2004,251511,0.730064,0.772585466918902,0.80515648118648,0.556745432738723,3,5,2
"708",3353,"Harburg",2005,251511,0.745201,0.788405998738411,0.807997142519354,0.567422297172395,3,6,2
"709",3353,"Harburg",2006,251511,0.716761,0.755723168012808,0.800444965730035,0.552535065689229,3,5,2
"710",3353,"Harburg",2007,251511,0.692303,0.737451890818239,0.794219267526828,0.529629019429713,3,5,2
"711",3353,"Harburg",2008,251511,0.667504,0.737172797565491,0.780683198194614,0.495380859015212,3,5,2
"712",3353,"Harburg",2009,251511,0.646177,0.699042313082657,0.780071677403057,0.492787378642834,3,5,2
"713",3353,"Harburg",2010,251511,0.642757,0.69699921011743,0.784438457774595,0.483835481465996,3,5,2
"714",3353,"Harburg",2011,251511,0.603833,0.672343845566413,0.764970833046809,0.452519346715004,3,5,2
"715",3353,"Harburg",2012,251511,0.58873,0.674371181993509,0.753289382391863,0.432900783089961,3,5,2
"716",3353,"Harburg",2013,251511,0.563801,0.644850292258402,0.747588056485279,0.419807449629616,3,5,2
"717",3353,"Harburg",2014,251511,0.542439,0.631984979051346,0.739316049168566,0.399542573553286,3,5,2
"718",3353,"Harburg",2015,251511,0.521731,0.616316791627418,0.730541550565856,0.383849006250455,3,5,2
"719",3353,"Harburg",2016,251511,0.514057,0.615893892536623,0.725085951096634,0.374854675359186,3,5,2
"720",3353,"Harburg",2017,251511,0.494377,0.617173752207511,0.712560356144861,0.34795884138885,3,5,2
"721",3354,"Lüchow-Dannenberg",1998,48357,0.973187,0.933572266900397,0.929430817900915,0.742691081898429,5,10,3
"722",3354,"Lüchow-Dannenberg",1999,48357,0.938971,0.856749242319386,0.929045158287192,0.753583427871403,5,10,3
"723",3354,"Lüchow-Dannenberg",2000,48357,0.933442,0.833139016192301,0.927299680530454,0.768224392178844,5,10,3
"724",3354,"Lüchow-Dannenberg",2001,48357,0.903875,0.850301634422402,0.904684596234707,0.716371014441415,5,10,3
"725",3354,"Lüchow-Dannenberg",2002,48357,0.877428,0.81133620441698,0.905064818995352,0.703698193830986,5,10,3
"726",3354,"Lüchow-Dannenberg",2003,48357,0.887931,0.83056656473811,0.902807713224391,0.707082199211144,5,10,3
"727",3354,"Lüchow-Dannenberg",2004,48357,0.869026,0.793732086460356,0.90769509644813,0.702388045133832,5,10,3
"728",3354,"Lüchow-Dannenberg",2005,48357,0.905628,0.834729615602101,0.912247973030852,0.727776944730136,5,10,3
"729",3354,"Lüchow-Dannenberg",2006,48357,0.887037,0.836233569250552,0.902489863365653,0.699999289452429,5,10,3
"730",3354,"Lüchow-Dannenberg",2007,48357,0.85746,0.820331381148934,0.893680229699986,0.667386245114185,5,10,3
"731",3354,"Lüchow-Dannenberg",2008,48357,0.81527,0.782215625584641,0.873236197546937,0.644177186103796,5,10,3
"732",3354,"Lüchow-Dannenberg",2009,48357,0.807925,0.771670286063468,0.871907556734788,0.641815363049443,5,10,3
"733",3354,"Lüchow-Dannenberg",2010,48357,0.796676,0.771203691725896,0.872482649116864,0.61990415623981,5,10,3
"734",3354,"Lüchow-Dannenberg",2011,48357,0.747724,0.714159860730144,0.864035169110694,0.590519120692265,5,10,3
"735",3354,"Lüchow-Dannenberg",2012,48357,0.743507,0.725458626782983,0.857899865129794,0.577183113081502,5,10,3
"736",3354,"Lüchow-Dannenberg",2013,48357,0.721174,0.700653071601367,0.849748044396668,0.566855041710253,5,10,3
"737",3354,"Lüchow-Dannenberg",2014,48357,0.719819,0.731920455963663,0.841986599931256,0.540724218169452,5,10,3
"738",3354,"Lüchow-Dannenberg",2015,48357,0.693017,0.711323029872791,0.83690592923806,0.514456679382973,5,10,3
"739",3354,"Lüchow-Dannenberg",2016,48357,0.667894,0.691530307158607,0.835246326447237,0.487216151636161,5,10,3
"740",3354,"Lüchow-Dannenberg",2017,48357,0.660113,0.712017118363931,0.822577437599589,0.464317814752968,5,10,3
"741",3355,"Lüneburg",1998,182930,0.856133,0.831676152352182,0.902061456362573,0.64508931609175,4,7,2
"742",3355,"Lüneburg",1999,182930,0.831466,0.793541270808658,0.897858325584664,0.63961808403076,3,6,2
"743",3355,"Lüneburg",2000,182930,0.808424,0.789179570837929,0.889060974173649,0.608119330524504,4,7,2
"744",3355,"Lüneburg",2001,182930,0.796153,0.816371837733582,0.871741006848556,0.574463491907749,4,7,2
"745",3355,"Lüneburg",2002,182930,0.776455,0.765756869766666,0.873044402234746,0.585597724216086,4,7,2
"746",3355,"Lüneburg",2003,182930,0.774429,0.753684905401923,0.869609549129056,0.597178040558326,4,7,2
"747",3355,"Lüneburg",2004,182930,0.745859,0.70434858461694,0.870546662939396,0.590204465863594,3,6,2
"748",3355,"Lüneburg",2005,182930,0.754086,0.698964426886589,0.87479176128696,0.607289265227439,3,6,2
"749",3355,"Lüneburg",2006,182930,0.733111,0.681159233565755,0.866626126050282,0.592607424105763,3,6,2
"750",3355,"Lüneburg",2007,182930,0.714379,0.680063429706662,0.862152779141671,0.561870300628833,3,6,2
"751",3355,"Lüneburg",2008,182930,0.694997,0.6771074444857,0.844980029159584,0.544434534282199,4,7,2
"752",3355,"Lüneburg",2009,182930,0.656538,0.61557938608006,0.839677288700587,0.536727441700936,3,5,2
"753",3355,"Lüneburg",2010,182930,0.649268,0.618184935610577,0.839618608306017,0.520090194134637,3,6,2
"754",3355,"Lüneburg",2011,182930,0.606997,0.580484707670572,0.829547313114249,0.485933998878954,3,5,2
"755",3355,"Lüneburg",2012,182930,0.593266,0.57376694448847,0.821413560002358,0.474173373560262,3,5,2
"756",3355,"Lüneburg",2013,182930,0.572762,0.552829677128216,0.817516600792871,0.459267262045224,3,5,2
"757",3355,"Lüneburg",2014,182930,0.54688,0.533839725893347,0.806111268960669,0.439499612346295,3,5,2
"758",3355,"Lüneburg",2015,182930,0.52751,0.515710186305039,0.798586999977227,0.427612089078667,3,5,2
"759",3355,"Lüneburg",2016,182930,0.517495,0.517584421069898,0.793745176595381,0.411168383621288,3,5,2
"760",3355,"Lüneburg",2017,182930,0.500992,0.522591432196277,0.781878903153507,0.386043362169716,3,5,2
"761",3356,"Osterholz",1998,113105,0.865554,0.884850101175033,0.8828097566505,0.629425727480336,4,7,2
"762",3356,"Osterholz",1999,113105,0.839193,0.850009849097244,0.877779648276725,0.618205470543006,4,7,2
"763",3356,"Osterholz",2000,113105,0.825792,0.875243174460372,0.865039755821574,0.57973862095506,4,7,2
"764",3356,"Osterholz",2001,113105,0.798476,0.860378625836736,0.849107752887228,0.557592480530977,4,7,2
"765",3356,"Osterholz",2002,113105,0.784456,0.835507045107331,0.850397297095265,0.554002105634191,4,7,2
"766",3356,"Osterholz",2003,113105,0.782238,0.828757010361815,0.847151602776114,0.559699782830101,4,7,2
"767",3356,"Osterholz",2004,113105,0.758819,0.775884774714494,0.845622237549839,0.56871079861278,4,7,2
"768",3356,"Osterholz",2005,113105,0.772181,0.781914636150657,0.848220334131197,0.585980265893253,4,7,2
"769",3356,"Osterholz",2006,113105,0.772259,0.808267718975694,0.841250797489932,0.566748798430398,4,7,2
"770",3356,"Osterholz",2007,113105,0.745964,0.785035094934774,0.836872273177835,0.543396118556453,4,8,2
"771",3356,"Osterholz",2008,113105,0.725753,0.786806688748915,0.822868961600651,0.516455916888584,4,8,2
"772",3356,"Osterholz",2009,113105,0.706446,0.753970122140407,0.822483431083996,0.512258039019335,4,8,2
"773",3356,"Osterholz",2010,113105,0.688528,0.730222040426694,0.823274236059097,0.500487633247642,4,8,2
"774",3356,"Osterholz",2011,113105,0.652941,0.705117825343265,0.809824846881012,0.470069163826119,4,7,2
"775",3356,"Osterholz",2012,113105,0.63564,0.698707707240509,0.798315298162537,0.454457457773529,4,8,2
"776",3356,"Osterholz",2013,113105,0.632854,0.707968699868585,0.79055485587705,0.447556768203325,4,8,2
"777",3356,"Osterholz",2014,113105,0.608212,0.682091508909317,0.78246676710409,0.433762479600661,4,8,2
"778",3356,"Osterholz",2015,113105,0.574469,0.646389037277815,0.777389117824623,0.409143947378399,4,7,2
"779",3356,"Osterholz",2016,113105,0.554706,0.636470372367979,0.769587369505187,0.388560238565208,4,7,2
"780",3356,"Osterholz",2017,113105,0.537491,0.636117042193392,0.75525793013182,0.36987876411047,4,7,2
"781",3357,"Rotenburg (Wümme)",1998,163377,0.860543,0.888809671441144,0.894176396577534,0.604387476080248,4,7,2
"782",3357,"Rotenburg (Wümme)",1999,163377,0.846927,0.88389949774649,0.888046966192483,0.589037165944657,4,7,2
"783",3357,"Rotenburg (Wümme)",2000,163377,0.834425,0.886980406896287,0.882301201329175,0.56747243870775,4,8,2
"784",3357,"Rotenburg (Wümme)",2001,163377,0.804824,0.869096361894357,0.868814538748074,0.541472091801288,4,8,2
"785",3357,"Rotenburg (Wümme)",2002,163377,0.800981,0.857421285731108,0.87109301443697,0.543420296334581,4,8,2
"786",3357,"Rotenburg (Wümme)",2003,163377,0.802189,0.853608429508922,0.869531772707009,0.551135519195567,4,8,2
"787",3357,"Rotenburg (Wümme)",2004,163377,0.783994,0.813909055323846,0.86528410805082,0.559817258645289,4,8,2
"788",3357,"Rotenburg (Wümme)",2005,163377,0.811163,0.848343095859959,0.86842393231009,0.574901439927304,4,8,2
"789",3357,"Rotenburg (Wümme)",2006,163377,0.77741,0.802499768081582,0.862115224725959,0.561635284878508,4,8,2
"790",3357,"Rotenburg (Wümme)",2007,163377,0.758173,0.799123056548569,0.857284818532482,0.532557376664807,4,8,2
"791",3357,"Rotenburg (Wümme)",2008,163377,0.740908,0.802695344793724,0.842993708371516,0.509814471077401,5,9,3
"792",3357,"Rotenburg (Wümme)",2009,163377,0.716214,0.77044756039261,0.839992877369107,0.497203847061266,4,8,2
"793",3357,"Rotenburg (Wümme)",2010,163377,0.680268,0.711459370918909,0.842196905410565,0.48431973409421,4,7,2
"794",3357,"Rotenburg (Wümme)",2011,163377,0.660033,0.710556950050757,0.828389078850838,0.459810815767714,4,8,2
"795",3357,"Rotenburg (Wümme)",2012,163377,0.638193,0.697684912439669,0.816112564849702,0.442629887645119,4,8,2
"796",3357,"Rotenburg (Wümme)",2013,163377,0.618742,0.684286529777698,0.806926424012657,0.427516027807668,4,8,2
"797",3357,"Rotenburg (Wümme)",2014,163377,0.604126,0.68094032493255,0.798953736121389,0.410506753851795,4,8,2
"798",3357,"Rotenburg (Wümme)",2015,163377,0.592422,0.680214370458937,0.792404011017018,0.395099843564962,4,8,2
"799",3357,"Rotenburg (Wümme)",2016,163377,0.57996,0.67789753765181,0.786907634996164,0.378759132660373,4,8,2
"800",3357,"Rotenburg (Wümme)",2017,163377,0.559313,0.674172263364497,0.775120780969168,0.354253573993605,4,8,2
"801",3358,"Heidekreis",1998,139099,0.874303,0.883242034464027,0.912403146314367,0.618397068764122,4,8,2
"802",3358,"Heidekreis",1999,139099,0.865726,0.894193112841629,0.905377951319772,0.597848261251595,4,8,2
"803",3358,"Heidekreis",2000,139099,0.846713,0.883152598933976,0.897844489908352,0.579571217080548,4,8,2
"804",3358,"Heidekreis",2001,139099,0.822294,0.872826973062431,0.883310278351813,0.557105318988,4,8,2
"805",3358,"Heidekreis",2002,139099,0.814525,0.861660491379486,0.884086793865277,0.55243664559625,4,8,2
