Gemeinden (2019) Kennziffer;Gemeinden (2019) Name;Gemeindeverbände (2019) Kennziffer;Gemeindeverbände (2019) Name
1053005;Bälau;1053913;Breitenfelde
1053006;Basedow;1053943;Lütau
1053007;Basthorst;1053973;Schwarzenbek-Land
1053008;Behlendorf;1053908;Berkenthin
1053009;Berkenthin;1053908;Berkenthin
1053010;Besenthal;1053918;Büchen
1053011;Bliestorf;1053908;Berkenthin
1053012;Börnsen;1053923;Hohe Elbgeest
1053013;Borstorf;1053913;Breitenfelde
1053014;Breitenfelde;1053913;Breitenfelde
1053015;Bröthen;1053918;Büchen
1053016;Brunsmark;1053958;Lauenburgische Seen
1053017;Brunstorf;1053973;Schwarzenbek-Land
1053018;Buchholz;1053958;Lauenburgische Seen
1053019;Buchhorst;1053943;Lütau
1053020;Büchen;1053918;Büchen
1053021;Dahmker;1053973;Schwarzenbek-Land
1053022;Dalldorf;1053943;Lütau
1053023;Dassendorf;1053923;Hohe Elbgeest
1053024;Düchelsdorf;1053908;Berkenthin
1053025;Duvensee;1053991;Sandesneben-Nusse
1053026;Einhaus;1053958;Lauenburgische Seen
1053027;Elmenhorst;1053973;Schwarzenbek-Land
1053028;Escheburg;1053923;Hohe Elbgeest
1053029;Fitzen;1053918;Büchen
1053030;Fredeburg;1053958;Lauenburgische Seen
1053031;Fuhlenhagen;1053973;Schwarzenbek-Land
1053032;Geesthacht, Stadt;1053032;Geesthacht, Stadt
1053033;Giesensdorf;1053958;Lauenburgische Seen
1053034;Göldenitz;1053908;Berkenthin
1053035;Göttin;1053918;Büchen
1053036;Grabau;1053973;Schwarzenbek-Land
1053037;Grambek;1053913;Breitenfelde
1053038;Grinau;1053991;Sandesneben-Nusse
1053039;Groß Boden;1053991;Sandesneben-Nusse
1053040;Groß Disnack;1053958;Lauenburgische Seen
1053041;Groß Grönau;1053958;Lauenburgische Seen
1053042;Groß Pampau;1053973;Schwarzenbek-Land
1053043;Groß Sarau;1053958;Lauenburgische Seen
1053044;Groß Schenkenberg;1053991;Sandesneben-Nusse
1053045;Grove;1053973;Schwarzenbek-Land
1053046;Gudow;1053918;Büchen
1053047;Gülzow;1053973;Schwarzenbek-Land
1053048;Güster;1053918;Büchen
1053049;Hamfelde;1053973;Schwarzenbek-Land
1053050;Hamwarde;1053923;Hohe Elbgeest
1053051;Harmsdorf;1053958;Lauenburgische Seen
1053052;Havekost;1053973;Schwarzenbek-Land
1053053;Hohenhorn;1053923;Hohe Elbgeest
1053054;Hollenbek;1053958;Lauenburgische Seen
1053056;Hornbek;1053913;Breitenfelde
1053057;Horst;1053958;Lauenburgische Seen
1053058;Juliusburg;1053943;Lütau
1053059;Kankelau;1053973;Schwarzenbek-Land
1053060;Kasseburg;1053973;Schwarzenbek-Land
1053061;Kastorf;1053908;Berkenthin
1053062;Kittlitz;1053958;Lauenburgische Seen
1053064;Klein Pampau;1053918;Büchen
1053066;Klein Zecher;1053958;Lauenburgische Seen
1053067;Klempau;1053908;Berkenthin
1053068;Klinkrade;1053991;Sandesneben-Nusse
1053069;Koberg;1053991;Sandesneben-Nusse
1053070;Köthel;1053973;Schwarzenbek-Land
1053071;Kollow;1053973;Schwarzenbek-Land
1053072;Kröppelshagen-Fahrendorf;1053923;Hohe Elbgeest
1053073;Krüzen;1053943;Lütau
1053074;Krukow;1053943;Lütau
1053075;Krummesse;1053908;Berkenthin
1053076;Kuddewörde;1053973;Schwarzenbek-Land
1053077;Kühsen;1053991;Sandesneben-Nusse
1053078;Kulpin;1053958;Lauenburgische Seen
1053079;Labenz;1053991;Sandesneben-Nusse
1053080;Langenlehsten;1053918;Büchen
1053081;Lankau;1053991;Sandesneben-Nusse
1053082;Lanze;1053943;Lütau
1053083;Lauenburg/ Elbe, Stadt;1053083;Lauenburg/ Elbe, Stadt
1053084;Lehmrade;1053913;Breitenfelde
1053085;Linau;1053991;Sandesneben-Nusse
1053086;Lüchow;1053991;Sandesneben-Nusse
1053087;Lütau;1053943;Lütau
1053088;Mechow;1053958;Lauenburgische Seen
1053089;Möhnsen;1053973;Schwarzenbek-Land
1053090;Mölln, Stadt;1053090;Mölln, Stadt
1053091;Mühlenrade;1053973;Schwarzenbek-Land
1053092;Müssen;1053918;Büchen
1053093;Mustin;1053958;Lauenburgische Seen
1053094;Niendorf bei Berkenthin;1053908;Berkenthin
1053095;Niendorf/ Stecknitz;1053913;Breitenfelde
1053096;Nusse;1053991;Sandesneben-Nusse
1053097;Panten;1053991;Sandesneben-Nusse
1053098;Pogeez;1053958;Lauenburgische Seen
1053099;Poggensee;1053991;Sandesneben-Nusse
1053100;Ratzeburg, Stadt;1053100;Ratzeburg, Stadt
1053101;Ritzerau;1053991;Sandesneben-Nusse
