"","Raumordnungsregion Nr","Raumordnungsregion","Jahr","Bevoelkerung","GISD_Score","TS_Bildung","TS_Einkommen","TS_Arbeitswelt","GISD_5","GISD_10","GISD_k"
"48","102","Schleswig-Holstein Nord",2005,453484,0.774552,0.760380734721529,0.884451428738008,0.622804551538527,5,9,3
"49","102","Schleswig-Holstein Nord",2006,453484,0.74851,0.732990553310093,0.878401192719977,0.614614369994238,5,9,3
"50","102","Schleswig-Holstein Nord",2007,453484,0.736206,0.742875428582823,0.869398680426303,0.594062182000964,5,10,3
"51","102","Schleswig-Holstein Nord",2008,453484,0.69648,0.714903288761337,0.851164355784102,0.576763288582864,5,10,3
"52","102","Schleswig-Holstein Nord",2009,453484,0.671996,0.683304425916768,0.84463262274347,0.575753687275676,5,10,3
"53","102","Schleswig-Holstein Nord",2010,453484,0.656518,0.669442950466844,0.84596319125191,0.563541610423382,5,10,3
"54","102","Schleswig-Holstein Nord",2011,453484,0.618734,0.648610576429254,0.83096059640793,0.538975119536691,5,10,3
"55","102","Schleswig-Holstein Nord",2012,453484,0.609844,0.654631475695926,0.828663548296021,0.521041176807445,5,10,3
"56","102","Schleswig-Holstein Nord",2013,453484,0.586254,0.641984317830367,0.823126406074635,0.501514230193873,5,10,3
"57","102","Schleswig-Holstein Nord",2014,453484,0.57646,0.646026444690853,0.817766713038726,0.487175587845163,5,10,3
"58","102","Schleswig-Holstein Nord",2015,453484,0.547451,0.630543980662213,0.807687536705352,0.466363679439975,5,10,3
"59","102","Schleswig-Holstein Nord",2016,453484,0.470224,0.526822339414088,0.803630896911881,0.450687115154921,5,9,3
"60","102","Schleswig-Holstein Nord",2017,453484,0.493194,0.596279291790206,0.792066119679442,0.429513808618232,5,10,3
"61","103","Schleswig-Holstein Ost",1998,416902,0.849599,0.803339771117129,0.925456637061603,0.658809350773519,5,9,3
"62","103","Schleswig-Holstein Ost",1999,416902,0.825403,0.78082620056677,0.920097330903071,0.648002915226408,5,9,3
"63","103","Schleswig-Holstein Ost",2000,416902,0.801729,0.776476649102878,0.912100745435078,0.622503495488483,5,9,3
