"";"JAHR";"PLZ3";"GISD_Score";"TS_Bildung";"TS_Einkommen";"TS_Arbeitswelt";"Bevoelkerung";"GISD_5";"GISD_10";"GISD_k"
"68";1998;123;0,759287;0,772674782572257;0,854753281321481;0,692858645582868;172351;5;9;3
"69";1998;124;0,759302;0,77267803766644;0,85475930376832;0,692865382915525;133548;5;9;3
"70";1998;125;0,754835;0,771475684694546;0,852726029328488;0,69114462596917;530173;4;8;2
"71";1998;126;0,75922;0,772693099990969;0,854696526783707;0,69282219765805;238857;4;8;2
"72";1998;130;0,759299;0,772678780570794;0,854756899416996;0,692863742038939;163485;5;9;3
"73";1998;131;0,759287;0,772682468322552;0,854744925156965;0,692858876315763;295578;5;9;3
"74";1998;133;0,759302;0,77267803766644;0,85475930376832;0,692865382915525;55234;5;9;3
"75";1998;134;0,759003;0,772602134665873;0,854576313514591;0,692792855865568;188306;4;8;2
"76";1998;135;0,759296;0,772677949684347;0,854750813649151;0,692867857014348;411591;5;9;3
"77";1998;136;0,759302;0,77267803766644;0,85475930376832;0,692865382915525;42436;5;9;3
"78";1998;140;0,759255;0,772643411397675;0,854750403460284;0,692856930883188;167264;5;9;3
"79";1998;141;0,75904;0,772516680986556;0,854670530288644;0,69282509056678;383375;4;8;2
"80";1998;144;0,495938;0,578171416211576;0,804561235889226;0,645339197394792;167141;2;4;2
"81";1998;145;0,529858;0,66386178471498;0,747241148295771;0,654606202083578;139759;2;4;2
"82";1998;146;0,759602;0,790189879674163;0,825724337032869;0,704721688768964;110986;5;9;3
"83";1998;147;0,869145;0,777919735423929;0,892782064079745;0,771484085760528;148233;5;10;3
"84";1998;148;0,574987;0,664070451125186;0,771513780345073;0,680200389778704;30436;3;6;2
"85";1998;149;0,745939;0,750654636865166;0,844952859713048;0,709868196674462;97735;4;8;2
"86";1998;152;0,806625;0,727586806775936;0,90821045378734;0,737015579580568;72717;5;9;3
"87";1998;153;0,759086;0,784221639183176;0,823987136403274;0,711854483033649;152872;4;8;2
"88";1998;155;0,7496;0,779249741264922;0,824498820401862;0,705788819679652;104130;4;8;2
"89";1998;157;0,637561;0,728541126985317;0,796383764421717;0,66029280793986;100676;4;7;2
"90";1998;158;0,711639;0,768157268022847;0,827354372872327;0,671904391248066;135490;4;8;2
"91";1998;159;0,707361;0,731865413046021;0,826061897407676;0,704740999662119;51665;4;8;2
"92";1998;162;0,854802;0,795739769382456;0,846211366556222;0,784320455390991;110813;5;10;3
"93";1998;163;0,794401;0,801876446694207;0,826458759483326;0,7309144965316;149758;5;9;3
"94";1998;165;0,709837;0,748808444083739;0,819064081379437;0,697544042447912;107291;4;8;2
"95";1998;167;0,740959;0,748358115081805;0,832973271025427;0,718618255139003;98748;4;8;2
"96";1998;168;0,906794;0,828100059471352;0,890878528515876;0,764983198689964;84070;5;10;3
"97";1998;169;0,884713;0,797872166367036;0,886394095114593;0,775194134872406;42299;5;10;3
"98";1998;170;0,836179;0,771603940795369;0,860956609094472;0,773045692106205;105331;5;10;3
"99";1998;171;0,888394;0,766935477381805;0,876655641703249;0,819954591738344;111274;5;10;3
