"","Kreiskennziffer","GISD_Score","GISD_5","GISD_10","GISD_k","Name des Kreises","Jahr"
"1",1001,0.79424,5,9,3,"Flensburg, Stadt",1998
"2",1001,0.78247,5,9,3,"Flensburg, Stadt",1999
"3",1001,0.68305,4,8,2,"Flensburg, Stadt",2000
"4",1001,0.7081,4,8,2,"Flensburg, Stadt",2001
"5",1001,0.73932,5,9,3,"Flensburg, Stadt",2002
"6",1001,0.71355,5,9,3,"Flensburg, Stadt",2003
"7",1001,0.75686,5,9,3,"Flensburg, Stadt",2004
"8",1001,0.8156,5,10,3,"Flensburg, Stadt",2005
"9",1001,0.83601,5,10,3,"Flensburg, Stadt",2006
"10",1001,0.85834,5,10,3,"Flensburg, Stadt",2007
"11",1001,0.878,5,10,3,"Flensburg, Stadt",2008
"12",1001,0.8561,5,10,3,"Flensburg, Stadt",2009
"13",1001,0.87299,5,10,3,"Flensburg, Stadt",2010
"14",1001,0.84054,5,10,3,"Flensburg, Stadt",2011
"15",1001,0.79853,5,10,3,"Flensburg, Stadt",2012
"16",1001,0.85747,5,10,3,"Flensburg, Stadt",2013
"17",1001,0.84826,5,10,3,"Flensburg, Stadt",2014
"18",1001,0.86049,5,10,3,"Flensburg, Stadt",2015
"19",1001,0.80641,5,10,3,"Flensburg, Stadt",2016
"20",1001,0.84204,5,10,3,"Flensburg, Stadt",2017
"21",1001,0.83362,5,10,3,"Flensburg, Stadt",2018
"22",1001,0.83831,5,10,3,"Flensburg, Stadt",2019
"23",1002,0.66835,4,8,2,"Kiel, Stadt",1998
"24",1002,0.63812,4,7,2,"Kiel, Stadt",1999
"25",1002,0.57224,4,7,2,"Kiel, Stadt",2000
"26",1002,0.57837,4,7,2,"Kiel, Stadt",2001
"27",1002,0.5606,3,6,2,"Kiel, Stadt",2002
"28",1002,0.57484,3,6,2,"Kiel, Stadt",2003
"29",1002,0.59342,4,7,2,"Kiel, Stadt",2004
"30",1002,0.63256,4,7,2,"Kiel, Stadt",2005
"31",1002,0.68395,4,8,2,"Kiel, Stadt",2006
"32",1002,0.70721,4,8,2,"Kiel, Stadt",2007
"33",1002,0.72339,4,8,2,"Kiel, Stadt",2008
"34",1002,0.6712,4,7,2,"Kiel, Stadt",2009
"35",1002,0.6933,4,7,2,"Kiel, Stadt",2010
"36",1002,0.68985,4,8,2,"Kiel, Stadt",2011
"37",1002,0.66244,4,8,2,"Kiel, Stadt",2012
"38",1002,0.69171,4,8,2,"Kiel, Stadt",2013
"39",1002,0.6958,4,8,2,"Kiel, Stadt",2014
"40",1002,0.6605,4,7,2,"Kiel, Stadt",2015
"41",1002,0.63705,4,8,2,"Kiel, Stadt",2016
"42",1002,0.64009,4,7,2,"Kiel, Stadt",2017
"43",1002,0.6547,4,7,2,"Kiel, Stadt",2018
