"year","PLZ3","gisd_score","population","gisd_5","gisd_10","gisd_k"
1998,10,0.56429,122511,3,6,2
1998,11,0.5647,199264,3,6,2
1998,12,0.56479,84357,3,6,2
1998,13,0.56451,114919,3,6,2
1998,14,0.73426,109551,4,8,2
1998,15,0.76098,68760,5,9,3
1998,16,0.76212,124888,5,9,3
1998,17,0.73185,160650,4,8,2
1998,18,0.75442,117918,5,9,3
1998,19,0.82154,140125,5,10,3
1998,26,0.80679,97022,5,9,3
1998,27,0.84988,122709,5,10,3
1998,28,0.83845,75371,5,10,3
1998,29,0.81649,132169,5,10,3
1998,30,0.72795,122619,4,8,2
1998,31,0.77712,95933,5,9,3
1998,32,0.80774,76443,5,10,3
1998,41,0.77239,182575,5,9,3
1998,42,0.77242,206623,5,9,3
1998,43,0.77247,166317,5,9,3
1998,44,0.82758,98103,5,10,3
1998,45,0.82429,107915,5,10,3
1998,46,0.83958,170342,5,10,3
1998,47,0.822,100023,5,10,3
1998,48,0.84444,140075,5,10,3
1998,49,0.79522,55139,5,9,3
1998,61,0.88114,304136,5,10,3
1998,62,0.88704,142548,5,10,3
1998,63,0.96958,110761,5,10,3
1998,64,0.96361,147030,5,10,3
1998,65,0.96201,89315,5,10,3
1998,66,0.94227,135670,5,10,3
1998,67,0.93017,140873,5,10,3
1998,68,0.85938,166700,5,10,3
1998,69,0.85037,39691,5,10,3
1998,73,0.81484,76992,5,10,3
1998,74,0.79346,44784,5,9,3
1998,75,0.85609,139563,5,10,3
1998,76,0.76507,57873,5,9,3
1998,77,0.52953,136333,3,5,2
1998,78,0.82773,15427,5,10,3
1998,79,0.80383,91732,5,9,3
1998,80,0.76142,88635,5,9,3
1998,81,0.77923,62043,5,9,3
1998,82,0.759,110892,5,9,3
1998,83,0.79776,117952,5,9,3
1998,84,0.76629,89319,5,9,3
1998,85,0.71974,80490,4,8,2
1998,86,0.72738,27912,4,8,2
1998,91,0.7354,198030,4,8,2
1998,92,0.76781,119118,5,9,3
1998,93,0.79841,137547,5,9,3
1998,94,0.8134,120222,5,10,3
1998,95,0.79203,110568,5,9,3
1998,96,0.79542,102578,5,9,3
1998,101,0.80393,42824,5,9,3
1998,102,0.80393,41054,5,9,3
1998,103,0.80393,103369,5,9,3
1998,104,0.80393,41047,5,9,3
1998,105,0.80393,49855,5,9,3
1998,106,0.80393,12120,5,9,3
1998,107,0.80393,57816,5,9,3
1998,108,0.80393,18513,5,9,3
1998,109,0.80393,47869,5,9,3
1998,120,0.80393,66959,5,9,3
1998,121,0.80393,100496,5,9,3
1998,122,0.80391,119870,5,9,3
1998,123,0.80392,174847,5,9,3
1998,124,0.80393,135482,5,9,3
1998,125,0.80088,537969,5,9,3
1998,126,0.80394,242319,5,9,3
1998,130,0.80393,165855,5,9,3
1998,131,0.80393,299862,5,9,3
1998,133,0.80393,56036,5,9,3
1998,134,0.80377,191033,5,9,3
1998,135,0.80393,417557,5,9,3
1998,136,0.80393,43051,5,9,3
1998,140,0.80388,169684,5,9,3
1998,141,0.80365,388940,5,9,3
1998,144,0.5061,170860,3,5,2
1998,145,0.59195,142666,4,7,2
1998,146,0.87595,113597,5,10,3
1998,147,0.8496,148951,5,10,3
1998,148,0.59975,31060,4,7,2
1998,149,0.71928,99079,4,8,2
1998,152,0.78725,73216,5,9,3
1998,153,0.79644,154882,5,9,3
1998,155,0.76107,105555,5,9,3
1998,157,0.66988,102851,4,8,2
1998,158,0.74381,139381,5,9,3
1998,159,0.68418,51753,4,8,2
1998,162,0.83043,109949,5,10,3
1998,163,0.84879,148748,5,10,3
1998,165,0.75404,108711,5,9,3
1998,167,0.76132,99872,5,9,3
1998,168,0.91929,84358,5,10,3
1998,169,0.90965,42180,5,10,3
1998,170,0.86688,105705,5,10,3
1998,171,0.88458,110291,5,10,3
1998,172,0.90667,130981,5,10,3
1998,173,0.934,106038,5,10,3
1998,174,0.91948,116585,5,10,3
1998,175,0.94598,12575,5,10,3
1998,180,0.81673,55991,5,10,3
1998,181,0.82004,193247,5,10,3
1998,182,0.84494,131557,5,10,3
1998,183,0.88647,51591,5,10,3
1998,184,0.86607,82034,5,10,3
1998,185,0.88312,84208,5,10,3
1998,186,0.86705,4721,5,10,3
1998,190,0.80921,145911,5,10,3
1998,192,0.87003,115711,5,10,3
1998,193,0.89052,122953,5,10,3
1998,194,0.89334,16806,5,10,3
1998,200,0.41545,10286,2,3,2
1998,201,0.41545,10364,2,3,2
1998,202,0.41545,14602,2,3,2
1998,203,0.41545,11948,2,3,2
1998,204,0.41545,36599,2,3,2
1998,205,0.41545,40074,2,3,2
