"";"JAHR";"PLZ2";"GISD_Score";"Bevoelkerung";"GISD_5";"GISD_10";"GISD_k"
"1";1998;1;0,657519;1245041;4;8;2
"2";1998;2;0,885113;427271;5;10;3
"3";1998;3;0,846735;294995;5;10;3
"4";1998;4;0,836033;1233846;5;10;3
"5";1998;6;1;1300863;5;10;3
"6";1998;7;0,746387;579985;5;9;3
"7";1998;8;0,792417;598445;5;9;3
"8";1998;9;0,794378;788089;5;9;3
"9";1998;10;0,772142;414467;5;9;3
"10";1998;12;0,769718;1377942;5;9;3
"11";1998;13;0,772017;1173394;5;9;3
"12";1998;14;0,719759;1264837;4;8;2
"13";1998;15;0,719549;627638;4;8;2
"14";1998;16;0,79636;598416;5;9;3
"15";1998;17;0,940891;587834;5;10;3
"16";1998;18;0,987299;607324;5;10;3
"17";1998;19;0,94894;404679;5;10;3
"18";1998;20;0,258848;123873;2;4;2
"19";1998;21;0,321252;1597996;2;4;2
"20";1998;22;0,250191;1103442;2;3;2
"21";1998;23;0,653228;734709;4;8;2
"22";1998;24;0,604858;1096639;4;7;2
"23";1998;25;0,487191;696446;3;6;2
"24";1998;26;0,731296;1174940;5;9;3
"25";1998;27;0,641532;860141;4;7;2
"26";1998;28;0,561586;738878;4;7;2
"27";1998;29;0,71402;522068;4;8;2
"28";1998;30;0,547934;912461;4;7;2
"29";1998;31;0,595331;987374;4;7;2
"30";1998;32;0,415546;885607;3;5;2
"31";1998;33;0,404865;1082569;3;5;2
"32";1998;34;0,582255;771997;4;7;2
"33";1998;35;0,416878;912547;3;5;2
"34";1998;36;0,499274;534835;3;6;2
"35";1998;37;0,67838;444539;4;8;2
"36";1998;38;0,599179;1141969;4;7;2
"37";1998;39;0,925251;783323;5;10;3
"38";1998;40;0,252053;991992;2;3;2
"39";1998;41;0,464694;952282;3;6;2
"40";1998;42;0,482106;878888;3;6;2
"41";1998;44;0,73137;1267494;5;9;3
"42";1998;45;0,643;1559154;4;8;2
"43";1998;46;0,594921;894580;4;7;2
"44";1998;47;0,69208;1313713;4;8;2
"45";1998;48;0,364403;1189935;3;5;2
"46";1998;49;0,52284;1228129;4;7;2
"47";1998;50;0,407507;1084177;3;5;2
"48";1998;51;0,354246;1079789;3;5;2
"49";1998;52;0,560224;941131;4;7;2
"50";1998;53;0,268194;1265468;2;4;2
"51";1998;54;0,504204;516643;3;6;2
"52";1998;55;0,327908;805580;2;4;2
"53";1998;56;0,452192;849197;3;6;2
"54";1998;57;0,357122;598580;3;5;2
"55";1998;58;0,466306;930406;3;6;2
"56";1998;59;0,503618;1145053;3;6;2
"57";1998;60;0,263689;619157;2;4;2
"58";1998;61;0,08938;451016;1;1;1
"59";1998;63;0,299694;1268562;2;4;2
"60";1998;64;0,212724;802795;1;2;1
"61";1998;65;0,220843;1081652;2;3;2
"62";1998;66;0,659825;1248759;4;8;2
"63";1998;67;0,488275;1033467;3;6;2
"64";1998;68;0,360241;601445;3;5;2
"65";1998;69;0,107681;508992;1;1;1
"66";1998;70;0,078148;821650;1;1;1
"67";1998;71;0,048971;1000158;1;1;1
"68";1998;72;0,14103;1056260;1;2;1
"69";1998;73;0,125411;1006392;1;1;1
"70";1998;74;0,19047;1057532;1;2;1
"71";1998;75;0,213207;484410;1;2;1
"72";1998;76;0,21048;1139769;1;2;1
"73";1998;77;0,252301;478943;2;3;2
"74";1998;78;0,232848;741488;2;3;2
"75";1998;79;0,258701;1040371;2;3;2
"76";1998;80;0,011702;626238;1;1;1
"77";1998;81;0,011467;814923;1;1;1
"78";1998;82;0;735553;1;1;1
"79";1998;83;0,143639;762163;1;2;1
"80";1998;84;0,205768;684830;1;2;1
"81";1998;85;0,006001;1114901;1;1;1
"82";1998;86;0,222845;1164100;2;3;2
"83";1998;87;0,222712;522875;2;3;2
"84";1998;88;0,150649;846572;1;2;1
"85";1998;89;0,170551;763761;1;2;1
"86";1998;90;0,291353;892793;2;4;2
"87";1998;91;0,163391;999919;1;2;1
"88";1998;92;0,343853;516635;2;4;2
"89";1998;93;0,257595;590817;2;3;2
"90";1998;94;0,393005;705807;3;5;2
"91";1998;95;0,441463;497508;3;6;2
"92";1998;96;0,341775;561663;2;4;2
"93";1998;97;0,266523;1061355;2;4;2
"94";1998;98;0,745009;304392;5;9;3
"95";1998;99;0,849618;945480;5;10;3
"96";1999;1;0,671701;1245041;4;8;2
"97";1999;2;0,876732;427271;5;10;3
"98";1999;3;0,854345;294995;5;10;3
"99";1999;4;0,837793;1233846;5;10;3
"100";1999;6;1;1300863;5;10;3
"101";1999;7;0,723466;579985;4;8;2
"102";1999;8;0,824357;598445;5;9;3
"103";1999;9;0,808878;788089;5;9;3
"104";1999;10;0,762126;414467;5;9;3
"105";1999;12;0,760339;1377942;5;9;3
"106";1999;13;0,762005;1173394;5;9;3
"107";1999;14;0,723945;1264837;4;8;2
"108";1999;15;0,736779;627638;5;9;3
"109";1999;16;0,806008;598416;5;9;3
"110";1999;17;0,945354;587834;5;10;3
"111";1999;18;0,971659;607324;5;10;3
"112";1999;19;0,946462;404679;5;10;3
"113";1999;20;0,272687;123873;2;3;2
"114";1999;21;0,337694;1597996;2;4;2
"115";1999;22;0,264629;1103442;2;3;2
"116";1999;23;0,662079;734709;4;8;2
"117";1999;24;0,603234;1096639;4;7;2
"118";1999;25;0,501419;696446;3;6;2
"119";1999;26;0,729894;1174940;5;9;3
"120";1999;27;0,652936;860141;4;8;2
"121";1999;28;0,553642;738878;4;7;2
"122";1999;29;0,716298;522068;4;8;2
"123";1999;30;0,546183;912461;4;7;2
"124";1999;31;0,591441;987374;4;7;2
"125";1999;32;0,429783;885607;3;5;2
"126";1999;33;0,418514;1082569;3;5;2
"127";1999;34;0,582787;771997;4;7;2
"128";1999;35;0,425574;912547;3;5;2
"129";1999;36;0,512961;534835;3;6;2
"130";1999;37;0,685225;444539;4;8;2
"131";1999;38;0,586543;1141969;4;7;2
"132";1999;39;0,948344;783323;5;10;3
"133";1999;40;0,262741;991992;2;3;2
"134";1999;41;0,474547;952282;3;6;2
"135";1999;42;0,492303;878888;3;6;2
"136";1999;44;0,729297;1267494;5;9;3
"137";1999;45;0,651596;1559154;4;7;2
"138";1999;46;0,602695;894580;4;7;2
"139";1999;47;0,691504;1313713;4;8;2
"140";1999;48;0,386327;1189935;3;5;2
"141";1999;49;0,528666;1228129;3;6;2
"142";1999;50;0,412324;1084177;3;5;2
"143";1999;51;0,361859;1079789;2;4;2
"144";1999;52;0,560472;941131;4;7;2
"145";1999;53;0,286613;1265468;2;4;2
"146";1999;54;0,534517;516643;4;7;2
"147";1999;55;0,345073;805580;2;4;2
"148";1999;56;0,47205;849197;3;6;2
"149";1999;57;0,371449;598580;3;5;2
"150";1999;58;0,475278;930406;3;6;2
"151";1999;59;0,522393;1145053;3;6;2
"152";1999;60;0,273153;619157;2;3;2
"153";1999;61;0,126045;451016;1;1;1
"154";1999;63;0,319469;1268562;2;4;2
"155";1999;64;0,246133;802795;2;3;2
"156";1999;65;0,244595;1081652;2;3;2
"157";1999;66;0,664341;1248759;4;8;2
"158";1999;67;0,500055;1033467;3;6;2
"159";1999;68;0,376998;601445;3;5;2
"160";1999;69;0,131075;508992;1;1;1
"161";1999;70;0,085703;821650;1;1;1
"162";1999;71;0,0737;1000158;1;1;1
"163";1999;72;0,158242;1056260;1;2;1
"164";1999;73;0,144302;1006392;1;1;1
"165";1999;74;0,21084;1057532;1;2;1
"166";1999;75;0,230451;484410;1;2;1
"167";1999;76;0,230046;1139769;1;2;1
"168";1999;77;0,271418;478943;2;3;2
"169";1999;78;0,248114;741488;2;3;2
"170";1999;79;0,280026;1040371;2;4;2
"171";1999;80;0,00015;626238;1;1;1
"172";1999;81;0;814923;1;1;1
"173";1999;82;0,025318;735553;1;1;1
"174";1999;83;0,174519;762163;1;2;1
"175";1999;84;0,235639;684830;1;2;1
"176";1999;85;0,02863;1114901;1;1;1
"177";1999;86;0,2312;1164100;1;2;1
"178";1999;87;0,241257;522875;2;3;2
"179";1999;88;0,166253;846572;1;2;1
"180";1999;89;0,194078;763761;1;2;1
"181";1999;90;0,2984;892793;2;4;2
"182";1999;91;0,185145;999919;1;2;1
"183";1999;92;0,367962;516635;3;5;2
"184";1999;93;0,274935;590817;2;4;2
"185";1999;94;0,413325;705807;3;5;2
"186";1999;95;0,455034;497508;3;6;2
"187";1999;96;0,362734;561663;2;4;2
"188";1999;97;0,278856;1061355;2;4;2
"189";1999;98;0,732144;304392;5;9;3
"190";1999;99;0,827965;945480;5;10;3
"191";2000;1;0,684689;1245041;4;8;2
"192";2000;2;0,850971;427271;5;10;3
"193";2000;3;0,815282;294995;5;9;3
"194";2000;4;0,831131;1233846;5;10;3
"195";2000;6;1;1300863;5;10;3
"196";2000;7;0,737106;579985;5;9;3
"197";2000;8;0,801885;598445;5;9;3
"198";2000;9;0,813992;788089;5;9;3
"199";2000;10;0,684784;414467;5;9;3
"200";2000;12;0,683614;1377942;4;8;2
"201";2000;13;0,684719;1173394;5;9;3
"202";2000;14;0,673876;1264837;4;8;2
"203";2000;15;0,738165;627638;5;9;3
"204";2000;16;0,804462;598416;5;9;3
"205";2000;17;0,922559;587834;5;10;3
"206";2000;18;0,900925;607324;5;10;3
"207";2000;19;0,92344;404679;5;10;3
"208";2000;20;0,278107;123873;2;3;2
"209";2000;21;0,347722;1597996;2;4;2
"210";2000;22;0,270798;1103442;2;3;2
"211";2000;23;0,656422;734709;4;8;2
