"year","PLZ2","gisd_score","population","gisd_5","gisd_10","gisd_k"
1999,73,0.29406,1006392,1,2,1
1999,74,0.37444,1057532,2,3,2
1999,75,0.40132,484410,2,3,2
1999,76,0.34594,1139769,1,2,1
1999,77,0.44321,478943,2,4,2
1999,78,0.47851,741488,3,5,2
1999,79,0.47359,1040371,3,5,2
1999,80,0.00018,626238,1,1,1
1999,81,0,814923,1,1,1
1999,82,0.08148,735553,1,1,1
1999,83,0.31638,762163,1,2,1
1999,84,0.39503,684830,2,3,2
1999,85,0.12526,1114901,1,1,1
1999,86,0.37522,1164100,2,3,2
1999,87,0.39978,522875,2,3,2
1999,88,0.31881,846572,1,2,1
1999,89,0.36805,763761,2,3,2
1999,90,0.45242,892793,2,4,2
1999,91,0.33385,999919,1,2,1
1999,92,0.49712,516635,3,5,2
1999,93,0.39797,590817,2,3,2
1999,94,0.53747,705807,3,6,2
1999,95,0.51515,497496,3,6,2
1999,96,0.49523,552316,3,5,2
1999,97,0.40247,1061351,2,3,2
1999,98,0.85457,242064,5,9,3
1999,99,0.87773,831397,5,10,3
2000,1,0.72138,1242943,4,8,2
2000,2,0.90774,427271,5,10,3
2000,3,0.80358,294995,5,9,3
2000,4,0.85551,1227112,5,9,3
2000,6,1,1276724,5,10,3
2000,7,0.75815,562704,5,9,3
2000,8,0.83071,577243,5,9,3
2000,9,0.82655,788063,5,9,3
2000,10,0.737,414467,5,9,3
2000,12,0.73643,1377942,5,9,3
2000,13,0.73704,1173394,5,9,3
2000,14,0.73353,1264837,5,9,3
2000,15,0.79552,627638,5,9,3
2000,16,0.8693,598413,5,10,3
2000,17,0.97598,582175,5,10,3
2000,18,0.88349,603349,5,10,3
2000,19,0.91509,401381,5,10,3
2000,20,0.34714,123873,1,2,1
2000,21,0.40337,1597996,2,4,2
2000,22,0.33387,1103442,1,2,1
2000,23,0.64422,733238,4,8,2
2000,24,0.57968,1095349,4,7,2
2000,25,0.52089,694669,3,6,2
2000,26,0.68509,1174940,4,8,2
2000,27,0.64072,860088,4,8,2
