Kennziffer;Raumeinheit;Aggregat;Lebenserwartung Frauen;Lebenserwartung Frauen;Lebenserwartung Männer;Lebenserwartung Männer
"05124";"Wuppertal, Stadt";"krsfr. Stadt";"82,26";"82,51";"77,32";"77,07"
"05154";"Kleve";"Landkreis";"82,75";"82,31";"78,19";"77,67"
"05158";"Mettmann";"Landkreis";"83,00";"83,05";"78,77";"79,19"
"05162";"Rhein-Kreis Neuss";"Landkreis";"83,07";"83,27";"79,07";"79,06"
"05166";"Viersen";"Landkreis";"82,28";"82,38";"78,72";"79,33"
"05170";"Wesel";"Landkreis";"83,01";"82,94";"78,10";"78,39"
"05314";"Bonn, Stadt";"krsfr. Stadt";"84,42";"83,95";"79,66";"79,01"
"05315";"Köln, Stadt";"krsfr. Stadt";"82,71";"83,05";"78,43";"78,89"
"05316";"Leverkusen, Stadt";"krsfr. Stadt";"83,58";"83,34";"78,93";"78,76"
"05334";"Städteregion Aachen";"Landkreis";"82,88";"82,89";"78,64";"78,96"
"05358";"Düren";"Landkreis";"82,69";"81,38";"77,92";"78,07"
"05362";"Rhein-Erft-Kreis";"Landkreis";"82,65";"83,01";"78,77";"79,06"
"05366";"Euskirchen";"Landkreis";"82,42";"82,18";"77,75";"77,50"
"05370";"Heinsberg";"Landkreis";"82,43";"82,11";"78,16";"78,17"
"05374";"Oberbergischer Kreis";"Landkreis";"82,68";"82,43";"78,12";"78,50"
"05378";"Rheinisch-Bergischer Kreis";"Landkreis";"83,55";"83,97";"79,89";"79,80"
"05382";"Rhein-Sieg-Kreis";"Landkreis";"83,61";"83,50";"79,51";"79,77"
"05512";"Bottrop, Stadt";"krsfr. Stadt";"82,56";"81,46";"77,34";"77,28"
"05513";"Gelsenkirchen, Stadt";"krsfr. Stadt";"80,80";"81,14";"75,86";"75,64"
"05515";"Münster, Stadt";"krsfr. Stadt";"84,62";"84,33";"80,19";"80,08"
"05554";"Borken";"Landkreis";"83,36";"83,14";"78,43";"78,80"
"05558";"Coesfeld";"Landkreis";"83,54";"83,36";"79,25";"79,76"
"05562";"Recklinghausen";"Landkreis";"82,41";"82,54";"77,32";"77,46"
"05566";"Steinfurt";"Landkreis";"83,72";"83,69";"79,04";"78,44"
"05570";"Warendorf";"Landkreis";"84,01";"84,31";"78,85";"79,35"
"05711";"Bielefeld, Stadt";"krsfr. Stadt";"83,55";"83,59";"78,72";"78,23"
"05754";"Gütersloh";"Landkreis";"83,69";"83,79";"79,09";"79,51"
"05758";"Herford";"Landkreis";"83,68";"83,19";"78,06";"78,79"
"05762";"Höxter";"Landkreis";"82,86";"83,29";"77,88";"78,27"
"05766";"Lippe";"Landkreis";"83,49";"82,82";"78,62";"78,25"
"05770";"Minden-Lübbecke";"Landkreis";"83,14";"83,46";"78,35";"78,06"
"05774";"Paderborn";"Landkreis";"83,71";"83,74";"79,32";"78,96"
"05911";"Bochum, Stadt";"krsfr. Stadt";"82,32";"82,57";"77,41";"77,09"
"05913";"Dortmund, Stadt";"krsfr. Stadt";"82,05";"81,68";"76,71";"76,69"
"05914";"Hagen, Stadt";"krsfr. Stadt";"81,56";"81,46";"76,58";"76,19"
"05915";"Hamm, Stadt";"krsfr. Stadt";"82,10";"82,28";"77,14";"77,57"
"05916";"Herne, Stadt";"krsfr. Stadt";"81,54";"81,00";"75,53";"75,83"
"05954";"Ennepe-Ruhr-Kreis";"Landkreis";"81,94";"82,39";"77,89";"77,64"
"05958";"Hochsauerlandkreis";"Landkreis";"83,20";"82,21";"78,27";"77,71"
"05962";"Märkischer Kreis";"Landkreis";"82,47";"82,12";"77,39";"77,68"
"05966";"Olpe";"Landkreis";"82,81";"82,52";"78,70";"78,83"
"05970";"Siegen-Wittgenstein";"Landkreis";"82,72";"82,72";"77,92";"77,96"
"05974";"Soest";"Landkreis";"82,66";"82,36";"77,61";"77,70"
"05978";"Unna";"Landkreis";"82,46";"82,47";"77,39";"77,59"
"06411";"Darmstadt, Stadt";"krsfr. Stadt";"82,93";"82,74";"79,04";"78,73"
"06412";"Frankfurt am Main, Stadt";"krsfr. Stadt";"83,79";"83,75";"79,20";"79,00"
"06413";"Offenbach am Main, Stadt";"krsfr. Stadt";"82,61";"83,24";"78,30";"78,22"
"06414";"Wiesbaden, Stadt";"krsfr. Stadt";"83,38";"83,27";"79,70";"78,78"
"06431";"Bergstraße";"Landkreis";"82,92";"82,85";"78,42";"78,82"
"06432";"Darmstadt-Dieburg";"Landkreis";"83,86";"83,38";"79,85";"79,66"
"06433";"Groß-Gerau";"Landkreis";"83,05";"83,40";"78,92";"79,40"
