Kennziffer;Raumeinheit;Aggregat;Lebenserwartung Frauen;Lebenserwartung Frauen;Lebenserwartung Männer;Lebenserwartung Männer
"09772";"Augsburg";"Landkreis";"83,93";"84,00";"79,65";"79,63"
"09773";"Dillingen a.d.Donau";"Landkreis";"83,83";"84,07";"78,44";"79,33"
"09774";"Günzburg";"Landkreis";"83,05";"83,13";"78,83";"80,04"
"09775";"Neu-Ulm";"Landkreis";"84,01";"84,50";"79,53";"80,54"
"09776";"Lindau (Bodensee)";"Landkreis";"84,30";"83,70";"79,21";"79,06"
"09777";"Ostallgäu";"Landkreis";"83,73";"84,69";"80,04";"80,31"
"09778";"Unterallgäu";"Landkreis";"84,33";"83,58";"79,88";"79,28"
"09779";"Donau-Ries";"Landkreis";"83,95";"84,82";"79,17";"79,32"
"09780";"Oberallgäu";"Landkreis";"84,82";"84,58";"80,25";"80,66"
"10041";"Regionalverband Saarbrücken";"Landkreis";"82,02";"81,88";"76,81";"76,97"
"10042";"Merzig-Wadern";"Landkreis";"82,83";"81,53";"77,21";"77,11"
"10043";"Neunkirchen";"Landkreis";"82,14";"81,72";"77,21";"76,10"
"10044";"Saarlouis";"Landkreis";"82,05";"82,46";"77,79";"77,61"
"10045";"Saarpfalz-Kreis";"Landkreis";"83,17";"82,84";"78,29";"78,52"
"10046";"St. Wendel";"Landkreis";"83,38";"81,94";"78,34";"78,79"
"11000";"Berlin, Stadt";"krsfr. Stadt";"83,14";"83,39";"78,20";"78,52"
"12051";"Brandenburg an der Havel, Stadt";"krsfr. Stadt";"83,06";"83,87";"76,99";"76,97"
"12052";"Cottbus, Stadt";"krsfr. Stadt";"82,73";"82,50";"77,15";"76,80"
"12053";"Frankfurt (Oder), Stadt";"krsfr. Stadt";"82,76";"83,16";"76,40";"77,45"
"12054";"Potsdam, Stadt";"krsfr. Stadt";"83,97";"84,72";"79,67";"79,24"
"12060";"Barnim";"Landkreis";"82,77";"83,00";"77,68";"78,24"
"12061";"Dahme-Spreewald";"Landkreis";"83,92";"84,03";"78,56";"78,88"
"12062";"Elbe-Elster";"Landkreis";"83,55";"82,90";"76,45";"76,57"
"12063";"Havelland";"Landkreis";"82,45";"82,97";"78,12";"78,86"
"12064";"Märkisch-Oderland";"Landkreis";"83,70";"83,50";"77,98";"78,40"
"12065";"Oberhavel";"Landkreis";"82,63";"83,32";"78,11";"78,36"
"12066";"Oberspreewald-Lausitz";"Landkreis";"82,65";"83,65";"75,38";"76,82"
"12067";"Oder-Spree";"Landkreis";"83,32";"83,82";"77,75";"77,90"
"12068";"Ostprignitz-Ruppin";"Landkreis";"83,03";"83,32";"76,87";"77,96"
"12069";"Potsdam-Mittelmark";"Landkreis";"83,92";"84,29";"79,02";"79,22"
"12070";"Prignitz";"Landkreis";"82,99";"82,90";"76,58";"76,68"
"12071";"Spree-Neiße";"Landkreis";"83,27";"82,54";"76,69";"77,12"
"12072";"Teltow-Fläming";"Landkreis";"83,26";"83,24";"78,10";"77,58"
"12073";"Uckermark";"Landkreis";"83,14";"82,70";"76,47";"76,41"
"13003";"Rostock, Stadt";"krsfr. Stadt";"83,99";"84,12";"77,56";"78,10"
"13004";"Schwerin, Stadt";"krsfr. Stadt";"83,50";"83,82";"76,16";"76,64"
"13071";"Mecklenburgische Seenplatte";"Landkreis";"83,39";"83,32";"76,70";"76,57"
"13072";"Landkreis Rostock";"Landkreis";"83,44";"83,48";"77,31";"76,77"
"13073";"Vorpommern-Rügen";"Landkreis";"82,78";"83,45";"76,80";"76,83"
"13074";"Nordwestmecklenburg";"Landkreis";"83,29";"84,09";"77,15";"77,46"
"13075";"Vorpommern-Greifswald";"Landkreis";"82,56";"82,73";"76,05";"76,50"
"13076";"Ludwigslust-Parchim";"Landkreis";"82,79";"83,45";"76,80";"77,13"
"14511";"Chemnitz, Stadt";"krsfr. Stadt";"83,47";"84,06";"77,71";"77,94"
"14521";"Erzgebirgskreis";"Landkreis";"83,58";"83,88";"77,28";"77,87"
"14522";"Mittelsachsen";"Landkreis";"83,96";"84,00";"77,78";"77,67"
"14523";"Vogtlandkreis";"Landkreis";"83,25";"83,43";"76,92";"76,71"
"14524";"Zwickau";"Landkreis";"83,32";"82,88";"77,30";"77,33"
"14612";"Dresden, Stadt";"krsfr. Stadt";"84,89";"85,22";"79,86";"79,59"
"14625";"Bautzen";"Landkreis";"84,10";"83,99";"77,34";"78,00"
"14626";"Görlitz";"Landkreis";"82,92";"83,85";"76,97";"76,81"
"14627";"Meißen";"Landkreis";"84,29";"84,53";"78,33";"78,56"
"14628";"Sächsische Schweiz-Osterzgebirge";"Landkreis";"84,39";"83,99";"78,51";"78,10"
"14713";"Leipzig, Stadt";"krsfr. Stadt";"83,34";"83,84";"77,77";"77,62"
"14729";"Leipzig";"Landkreis";"83,82";"83,66";"77,78";"77,89"
"14730";"Nordsachsen";"Landkreis";"83,09";"83,26";"77,38";"77,41"
"15001";"Dessau-Roßlau, Stadt";"krsfr. Stadt";"82,84";"82,98";"77,80";"76,55"
"15002";"Halle (Saale), Stadt";"krsfr. Stadt";"82,46";"82,66";"76,78";"75,98"
"15003";"Magdeburg, Stadt";"krsfr. Stadt";"83,33";"83,22";"76,92";"77,02"
"15081";"Altmarkkreis Salzwedel";"Landkreis";"82,33";"83,25";"75,65";"75,99"
"15082";"Anhalt-Bitterfeld";"Landkreis";"82,30";"81,89";"75,96";"76,10"
"15083";"Börde";"Landkreis";"83,17";"83,23";"76,33";"76,48"
"15084";"Burgenlandkreis";"Landkreis";"83,27";"83,08";"76,83";"75,90"
"15085";"Harz";"Landkreis";"82,37";"82,16";"75,93";"76,27"
"15086";"Jerichower Land";"Landkreis";"82,62";"83,04";"76,62";"76,83"
"15087";"Mansfeld-Südharz";"Landkreis";"82,76";"83,32";"76,59";"76,02"
"15088";"Saalekreis";"Landkreis";"83,19";"82,43";"76,70";"76,92"
"15089";"Salzlandkreis";"Landkreis";"82,05";"81,56";"75,19";"75,37"
"15090";"Stendal";"Landkreis";"82,29";"81,39";"75,81";"75,52"
"15091";"Wittenberg";"Landkreis";"82,52";"82,37";"76,24";"76,25"
"16051";"Erfurt, Stadt";"krsfr. Stadt";"83,30";"83,40";"77,96";"78,31"
"16052";"Gera, Stadt";"krsfr. Stadt";"83,04";"84,11";"77,01";"76,45"
"16053";"Jena, Stadt";"krsfr. Stadt";"84,92";"84,63";"79,54";"80,19"
"16054";"Suhl, Stadt";"krsfr. Stadt";"83,72";"83,17";"77,71";"75,46"
"16055";"Weimar, Stadt";"krsfr. Stadt";"83,70";"82,31";"78,58";"77,00"
"16056";"Eisenach, Stadt";"krsfr. Stadt";"83,36";"81,77";"76,21";"77,48"
"16061";"Eichsfeld";"Landkreis";"84,08";"84,26";"78,73";"78,60"
"16062";"Nordhausen";"Landkreis";"82,72";"81,92";"76,64";"77,69"
"16063";"Wartburgkreis";"Landkreis";"83,16";"83,09";"77,49";"77,65"
"16064";"Unstrut-Hainich-Kreis";"Landkreis";"82,79";"82,34";"76,70";"76,45"
"16065";"Kyffhäuserkreis";"Landkreis";"81,11";"82,03";"75,60";"75,80"
"16066";"Schmalkalden-Meiningen";"Landkreis";"82,72";"81,95";"77,01";"76,49"
"16067";"Gotha";"Landkreis";"82,89";"82,81";"77,29";"77,41"
"16068";"Sömmerda";"Landkreis";"82,70";"82,97";"76,18";"76,01"
"16069";"Hildburghausen";"Landkreis";"83,55";"83,18";"77,43";"76,33"
"16070";"Ilm-Kreis";"Landkreis";"83,07";"83,13";"77,06";"77,90"
"16071";"Weimarer Land";"Landkreis";"82,61";"83,02";"77,93";"77,64"
"16072";"Sonneberg";"Landkreis";"82,95";"83,12";"76,45";"75,69"
"16073";"Saalfeld-Rudolstadt";"Landkreis";"83,54";"83,54";"76,44";"77,01"
"16074";"Saale-Holzland-Kreis";"Landkreis";"84,72";"84,64";"79,27";"78,37"
"16075";"Saale-Orla-Kreis";"Landkreis";"83,33";"83,82";"77,30";"76,75"
"16076";"Greiz";"Landkreis";"83,54";"83,16";"77,71";"77,62"
"16077";"Altenburger Land";"Landkreis";"83,57";"83,86";"77,58";"77,32"
