Kennziffer;Raumeinheit;Aggregat;Lebenserwartung;Lebenserwartung;Lebenserwartung
"13073";"Vorpommern-Rügen";"Landkreis";"79,72";"79,87";"79,84"
"13074";"Nordwestmecklenburg";"Landkreis";"80,12";"80,16";"80,55"
"13075";"Vorpommern-Greifswald";"Landkreis";"79,26";"79,23";"79,41"
"13076";"Ludwigslust-Parchim";"Landkreis";"79,75";"79,86";"80,07"
"14511";"Chemnitz, Stadt";"krsfr. Stadt";"80,68";"80,79";"80,92"
"14521";"Erzgebirgskreis";"Landkreis";"80,43";"80,49";"80,83"
"14522";"Mittelsachsen";"Landkreis";"80,85";"80,88";"80,72"
"14523";"Vogtlandkreis";"Landkreis";"80,09";"80,11";"79,92"
"14524";"Zwickau";"Landkreis";"80,33";"80,03";"80,03"
"14612";"Dresden, Stadt";"krsfr. Stadt";"82,41";"82,30";"82,28"
"14625";"Bautzen";"Landkreis";"80,67";"80,73";"80,82"
"14626";"Görlitz";"Landkreis";"79,89";"80,15";"80,17"
"14627";"Meißen";"Landkreis";"81,30";"81,37";"81,42"
"14628";"Sächsische Schweiz-Osterzgebirge";"Landkreis";"81,45";"81,21";"80,88"
"14713";"Leipzig, Stadt";"krsfr. Stadt";"80,56";"80,59";"80,57"
"14729";"Leipzig";"Landkreis";"80,79";"80,88";"80,64"
"14730";"Nordsachsen";"Landkreis";"80,20";"80,27";"80,16"
"15001";"Dessau-Roßlau, Stadt";"krsfr. Stadt";"80,35";"80,24";"79,52"
"15002";"Halle (Saale), Stadt";"krsfr. Stadt";"79,69";"79,46";"79,13"
"15003";"Magdeburg, Stadt";"krsfr. Stadt";"80,18";"80,10";"79,89"
"15081";"Altmarkkreis Salzwedel";"Landkreis";"78,82";"78,99";"79,29"
"15082";"Anhalt-Bitterfeld";"Landkreis";"79,09";"79,19";"78,77"
"15083";"Börde";"Landkreis";"79,68";"79,78";"79,54"
"15084";"Burgenlandkreis";"Landkreis";"80,03";"79,68";"79,21"
"15085";"Harz";"Landkreis";"79,11";"79,03";"79,04"
"15086";"Jerichower Land";"Landkreis";"79,56";"79,58";"79,62"
"15087";"Mansfeld-Südharz";"Landkreis";"79,65";"79,83";"79,37"
"15088";"Saalekreis";"Landkreis";"79,90";"79,86";"79,46"
"15089";"Salzlandkreis";"Landkreis";"78,58";"78,50";"78,27"
"15090";"Stendal";"Landkreis";"78,94";"79,02";"78,16"
"15091";"Wittenberg";"Landkreis";"79,36";"79,16";"79,00"
"16051";"Erfurt, Stadt";"krsfr. Stadt";"80,69";"80,95";"80,70"
"16052";"Gera, Stadt";"krsfr. Stadt";"80,07";"80,29";"80,13"
"16053";"Jena, Stadt";"krsfr. Stadt";"82,24";"82,23";"82,19"
"16054";"Suhl, Stadt";"krsfr. Stadt";"80,74";"80,26";"78,96"
"16055";"Weimar, Stadt";"krsfr. Stadt";"81,26";"80,46";"79,58"
"16056";"Eisenach, Stadt";"krsfr. Stadt";"79,79";"80,01";"79,54"
"16061";"Eichsfeld";"Landkreis";"81,32";"81,45";"81,21"
"16062";"Nordhausen";"Landkreis";"79,65";"79,62";"79,64"
"16063";"Wartburgkreis";"Landkreis";"80,26";"80,44";"80,13"
"16064";"Unstrut-Hainich-Kreis";"Landkreis";"79,73";"79,65";"79,13"
"16065";"Kyffhäuserkreis";"Landkreis";"78,31";"78,47";"78,67"
"16066";"Schmalkalden-Meiningen";"Landkreis";"79,83";"79,57";"78,97"
"16067";"Gotha";"Landkreis";"80,07";"80,07";"79,86"
"16068";"Sömmerda";"Landkreis";"79,34";"79,18";"79,18"
"16069";"Hildburghausen";"Landkreis";"80,46";"80,14";"79,48"
"16070";"Ilm-Kreis";"Landkreis";"80,02";"80,43";"80,37"
"16071";"Weimarer Land";"Landkreis";"80,27";"80,24";"80,09"
"16072";"Sonneberg";"Landkreis";"79,67";"79,32";"79,14"
"16073";"Saalfeld-Rudolstadt";"Landkreis";"79,92";"80,35";"80,12"
"16074";"Saale-Holzland-Kreis";"Landkreis";"81,96";"81,84";"81,22"
"16075";"Saale-Orla-Kreis";"Landkreis";"80,32";"80,10";"80,09"
"16076";"Greiz";"Landkreis";"80,62";"80,41";"80,27"
"16077";"Altenburger Land";"Landkreis";"80,58";"80,61";"80,42"
