Kennziffer;Raumeinheit;Aggregat;Lebenserwartung;Lebenserwartung;Lebenserwartung
"05358";"Düren";"Landkreis";"80,30";"80,03";"79,69"
"05362";"Rhein-Erft-Kreis";"Landkreis";"80,75";"80,92";"80,97"
"05366";"Euskirchen";"Landkreis";"80,07";"80,00";"79,79"
"05370";"Heinsberg";"Landkreis";"80,33";"80,43";"80,11"
"05374";"Oberbergischer Kreis";"Landkreis";"80,41";"80,29";"80,46"
"05378";"Rheinisch-Bergischer Kreis";"Landkreis";"81,76";"81,83";"81,91"
"05382";"Rhein-Sieg-Kreis";"Landkreis";"81,60";"81,66";"81,53"
"05512";"Bottrop, Stadt";"krsfr. Stadt";"80,02";"79,77";"79,61"
"05513";"Gelsenkirchen, Stadt";"krsfr. Stadt";"78,35";"78,50";"78,45"
"05515";"Münster, Stadt";"krsfr. Stadt";"82,54";"82,46";"82,40"
"05554";"Borken";"Landkreis";"80,90";"80,88";"80,89"
"05558";"Coesfeld";"Landkreis";"81,44";"81,43";"81,59"
"05562";"Recklinghausen";"Landkreis";"79,89";"79,97";"80,02"
"05566";"Steinfurt";"Landkreis";"81,42";"81,37";"80,98"
"05570";"Warendorf";"Landkreis";"81,45";"81,74";"81,87"
"05711";"Bielefeld, Stadt";"krsfr. Stadt";"81,20";"81,06";"81,03"
"05754";"Gütersloh";"Landkreis";"81,43";"81,73";"81,63"
"05758";"Herford";"Landkreis";"80,92";"81,17";"81,12"
"05762";"Höxter";"Landkreis";"80,35";"80,60";"80,89"
"05766";"Lippe";"Landkreis";"81,11";"80,86";"80,58"
"05770";"Minden-Lübbecke";"Landkreis";"80,79";"80,97";"80,83"
"05774";"Paderborn";"Landkreis";"81,55";"81,49";"81,35"
"05911";"Bochum, Stadt";"krsfr. Stadt";"79,94";"79,91";"79,92"
"05913";"Dortmund, Stadt";"krsfr. Stadt";"79,41";"79,30";"79,19"
"05914";"Hagen, Stadt";"krsfr. Stadt";"79,13";"79,01";"78,94"
"05915";"Hamm, Stadt";"krsfr. Stadt";"79,64";"79,66";"80,06"
"05916";"Herne, Stadt";"krsfr. Stadt";"78,56";"78,69";"78,58"
"05954";"Ennepe-Ruhr-Kreis";"Landkreis";"79,98";"79,99";"80,05"
"05958";"Hochsauerlandkreis";"Landkreis";"80,75";"80,45";"80,01"
"05962";"Märkischer Kreis";"Landkreis";"79,95";"79,98";"79,87"
"05966";"Olpe";"Landkreis";"80,71";"80,64";"80,79"
"05970";"Siegen-Wittgenstein";"Landkreis";"80,32";"80,38";"80,31"
"05974";"Soest";"Landkreis";"80,15";"80,09";"80,04"
"05978";"Unna";"Landkreis";"79,98";"79,97";"80,04"
"06411";"Darmstadt, Stadt";"krsfr. Stadt";"81,08";"80,84";"80,81"
"06412";"Frankfurt am Main, Stadt";"krsfr. Stadt";"81,57";"81,58";"81,32"
"06413";"Offenbach am Main, Stadt";"krsfr. Stadt";"80,49";"80,88";"80,77"
"06414";"Wiesbaden, Stadt";"krsfr. Stadt";"81,63";"81,38";"81,07"
"06431";"Bergstraße";"Landkreis";"80,71";"80,66";"80,69"
"06432";"Darmstadt-Dieburg";"Landkreis";"81,88";"81,74";"81,37"
"06433";"Groß-Gerau";"Landkreis";"80,99";"80,95";"81,24"
"06434";"Hochtaunuskreis";"Landkreis";"82,70";"82,79";"82,96"
"06435";"Main-Kinzig-Kreis";"Landkreis";"81,28";"81,29";"81,53"
"06436";"Main-Taunus-Kreis";"Landkreis";"82,68";"82,44";"82,19"
"06437";"Odenwaldkreis";"Landkreis";"80,91";"80,82";"80,62"
"06438";"Offenbach";"Landkreis";"82,43";"82,23";"81,80"
"06439";"Rheingau-Taunus-Kreis";"Landkreis";"81,67";"81,76";"82,16"
"06440";"Wetteraukreis";"Landkreis";"81,12";"81,13";"80,94"
"06531";"Gießen";"Landkreis";"81,32";"81,29";"80,75"
"06532";"Lahn-Dill-Kreis";"Landkreis";"80,99";"80,81";"80,28"
"06533";"Limburg-Weilburg";"Landkreis";"80,34";"80,28";"80,15"
"06534";"Marburg-Biedenkopf";"Landkreis";"81,01";"81,12";"80,91"
"06535";"Vogelsbergkreis";"Landkreis";"80,89";"80,49";"79,95"
"06611";"Kassel, Stadt";"krsfr. Stadt";"80,51";"80,39";"80,44"
"06631";"Fulda";"Landkreis";"81,73";"81,73";"81,73"
"06632";"Hersfeld-Rotenburg";"Landkreis";"80,67";"80,37";"80,24"
"06633";"Kassel";"Landkreis";"80,86";"80,89";"81,10"
"06634";"Schwalm-Eder-Kreis";"Landkreis";"80,08";"80,09";"80,06"
"06635";"Waldeck-Frankenberg";"Landkreis";"80,71";"80,60";"79,80"
"06636";"Werra-Meißner-Kreis";"Landkreis";"80,03";"79,88";"79,54"
"07111";"Koblenz, Stadt";"krsfr. Stadt";"80,83";"80,91";"81,34"
"07131";"Ahrweiler";"Landkreis";"81,37";"81,57";"81,11"
"07132";"Altenkirchen (Westerwald)";"Landkreis";"79,89";"80,25";"79,98"
"07133";"Bad Kreuznach";"Landkreis";"80,44";"80,42";"80,33"
"07134";"Birkenfeld";"Landkreis";"79,73";"79,49";"78,92"
"07135";"Cochem-Zell";"Landkreis";"80,32";"80,31";"80,12"
"07137";"Mayen-Koblenz";"Landkreis";"80,89";"81,18";"81,36"
"07138";"Neuwied";"Landkreis";"80,21";"80,45";"80,95"
"07140";"Rhein-Hunsrück-Kreis";"Landkreis";"81,05";"80,91";"80,27"
"07141";"Rhein-Lahn-Kreis";"Landkreis";"80,30";"80,24";"80,21"
"07143";"Westerwaldkreis";"Landkreis";"80,58";"80,53";"80,35"
"07211";"Trier, Stadt";"krsfr. Stadt";"80,77";"80,44";"80,30"
"07231";"Bernkastel-Wittlich";"Landkreis";"81,45";"81,30";"80,68"
"07232";"Eifelkreis Bitburg-Prüm";"Landkreis";"80,49";"80,24";"80,42"
"07233";"Vulkaneifel";"Landkreis";"81,29";"81,19";"80,96"
"07235";"Trier-Saarburg";"Landkreis";"81,68";"81,52";"81,50"
"07311";"Frankenthal (Pfalz), Stadt";"krsfr. Stadt";"80,96";"80,66";"81,04"
"07312";"Kaiserslautern, Stadt";"krsfr. Stadt";"79,49";"79,78";"80,07"
"07313";"Landau in der Pfalz, Stadt";"krsfr. Stadt";"81,60";"81,41";"80,71"
"07314";"Ludwigshafen am Rhein, Stadt";"krsfr. Stadt";"80,41";"80,45";"80,04"
"07315";"Mainz, Stadt";"krsfr. Stadt";"81,81";"81,93";"81,73"
"07316";"Neustadt an der Weinstraße, Stadt";"krsfr. Stadt";"81,38";"81,42";"81,34"
"07317";"Pirmasens, Stadt";"krsfr. Stadt";"77,86";"78,05";"78,63"
"07318";"Speyer, Stadt";"krsfr. Stadt";"80,71";"80,72";"80,49"
"07319";"Worms, Stadt";"krsfr. Stadt";"80,54";"80,37";"80,12"
"07320";"Zweibrücken, Stadt";"krsfr. Stadt";"80,39";"80,65";"80,33"
"07331";"Alzey-Worms";"Landkreis";"80,94";"81,04";"80,76"
