"","Raumordnungsregion Nr","Raumordnungsregion","Jahr","Bevoelkerung","GISD_Score","TS_Bildung","TS_Einkommen","TS_Arbeitswelt","GISD_Score_2","GISD_5","GISD_10","GISD_k"
"1304",1202,"Lausitz-Spreewald",2009,597366,0.694710018445977,0.647457374340703,0.674300901433818,0.62957297337968,0.650867,4,7,2
"1305",1202,"Lausitz-Spreewald",2010,597366,0.681906367326082,0.639300757803383,0.67583621180681,0.606487011470906,0.634686,3,6,2
"1306",1202,"Lausitz-Spreewald",2011,597366,0.654478852875587,0.632876267584416,0.645600303562795,0.579509583759939,0.600026,3,5,2
"1307",1202,"Lausitz-Spreewald",2012,597366,0.633232673423906,0.601827735190959,0.643854506568404,0.563008134733485,0.573177,3,5,2
"1308",1202,"Lausitz-Spreewald",2013,597366,0.629012948503011,0.623161615648016,0.62375471323392,0.55198336382502,0.567844,2,4,2
"1309",1202,"Lausitz-Spreewald",2014,597366,0.643882044601875,0.627883203268507,0.615472319299135,0.59004372184354,0.586634,3,5,2
"1310",1203,"Oderland-Spree",1998,423894,0.858785859053904,0.772528129173083,0.840318654367359,0.719176264821379,0.858212,5,10,3
"1311",1203,"Oderland-Spree",1999,423894,0.846567782709045,0.748233254398079,0.832425311692845,0.723015875618349,0.842772,5,10,3
"1312",1203,"Oderland-Spree",2000,423894,0.841666369099428,0.755848778386202,0.820151420234115,0.71630189260279,0.836578,5,10,3
"1313",1203,"Oderland-Spree",2001,423894,0.832091396431949,0.748891839130471,0.813319671819099,0.707874551645307,0.824478,5,10,3
"1314",1203,"Oderland-Spree",2002,423894,0.825207566916347,0.732118552366618,0.808481575304999,0.713513946396348,0.815779,5,10,3
"1315",1203,"Oderland-Spree",2003,423894,0.823473889960663,0.71953777809186,0.802132688369059,0.728421098278077,0.813588,5,9,3
"1316",1203,"Oderland-Spree",2004,423894,0.82486847026443,0.712939468897887,0.803327320299442,0.737060506548824,0.81535,5,9,3
"1317",1203,"Oderland-Spree",2005,423894,0.831877387283196,0.732802350594852,0.807825923367296,0.728961240648677,0.824207,5,10,3
"1318",1203,"Oderland-Spree",2006,423894,0.814039459079029,0.724307590698697,0.792910644038949,0.710983389023312,0.801665,5,9,3
"1319",1203,"Oderland-Spree",2007,423894,0.785731711040957,0.726698405221905,0.764770864545029,0.671052193574303,0.765892,5,9,3
"1320",1203,"Oderland-Spree",2008,423894,0.74234793240435,0.713014735570312,0.708488813732337,0.640358068662199,0.711067,4,8,2
"1321",1203,"Oderland-Spree",2009,423894,0.70894684744662,0.677167859063621,0.678120655461217,0.629075288521422,0.668858,4,7,2
"1322",1203,"Oderland-Spree",2010,423894,0.697149408761672,0.668731295038315,0.679876225588123,0.608383647043559,0.653949,4,7,2
